id,method,method_plot,dirname,mode,json_path,top1_missing_l1,best_of_k_missing_l1,mel_l1_missing,probe_l1_missing,psnr_missing,ssim,evidence_mean,heuristic_evidence_mean,semantic_evidence_mean,gate_mean,gate_target_mean,gate_target_gap,uncertainty_mean,uncertainty_error_spearman
O,Original VIAI-AV,"Original
VIAI-AV",../original_viai_av_baseline_eval,none,/home/sanmu/VIAIpro/checkpoints/original_viai_av_baseline_eval/none/VIAI-AV-PatchGAN_step000019000_perturb-none_test.json,0.06357629092390392,0.06357629092390392,0.06357629092390392,0.051020324666132315,22.25909983097239,0.9717985058033701,0.3117186725139618,0.3117186838087249,0.0,1.0,0.49842114802053633,0.5015788519794636,0.0,0.0
O,Original VIAI-AV,"Original
VIAI-AV",../original_viai_av_baseline_eval,flow_zero,/home/sanmu/VIAIpro/checkpoints/original_viai_av_baseline_eval/flow_zero/VIAI-AV-PatchGAN_step000019000_perturb-flow_zero_test.json,0.0645703206958368,0.0645703206958368,0.0645703206958368,0.051110421659107855,22.077075258214425,0.9730038784161141,0.2262609302997589,0.2262609392563079,0.0,1.0,0.06220030943129925,0.9377996905687007,0.0,0.0
O,Original VIAI-AV,"Original
VIAI-AV",../original_viai_av_baseline_eval,no_video,/home/sanmu/VIAIpro/checkpoints/original_viai_av_baseline_eval/no_video/VIAI-AV-PatchGAN_step000019000_perturb-no_video_test.json,0.0701737116100861,0.0701737116100861,0.0701737116100861,0.05145144556708475,21.472130567469495,0.9653508950038572,0.19666732847690582,0.19666732193783243,0.0,1.0,0.01829096888925167,0.9817090311107484,0.0,0.0
O,Original VIAI-AV,"Original
VIAI-AV",../original_viai_av_baseline_eval,wrong_video_cross_instrument,/home/sanmu/VIAIpro/checkpoints/original_viai_av_baseline_eval/wrong_video_cross_instrument/VIAI-AV-PatchGAN_step000019000_perturb-wrong_video_cross_instrument_test.json,0.06754270119671808,0.06754270119671808,0.06754270119671808,0.05146735667330312,21.71191761087864,0.9695906481893586,0.28596481680870056,0.28596480087713994,0.0,1.0,0.3542166678036781,0.6457833321963219,0.0,0.0
A,EC-VIAI-AV Candidate-Scorer,"EC-VIAI-AV
Candidate-Scorer",A_stage8_90000_fused_readonly,none,/home/sanmu/VIAIpro/checkpoints/ablation_stage10d/A_stage8_90000_fused_readonly/none/EC-VIAI-AV-PatchGAN_step000090000_perturb-none_test.json,0.05979893357552429,0.05841958672402704,0.05979893357552429,0.052170887312039414,22.602433973170342,0.9751551055923772,0.4711468517780304,0.32277547258962974,0.7466936819849813,0.8436255056331766,0.9006308247434333,-0.05700531911025656,0.4077903926372528,0.45660658050680064
A,EC-VIAI-AV Candidate-Scorer,"EC-VIAI-AV
Candidate-Scorer",A_stage8_90000_fused_readonly,flow_zero,/home/sanmu/VIAIpro/checkpoints/ablation_stage10d/A_stage8_90000_fused_readonly/flow_zero/EC-VIAI-AV-PatchGAN_step000090000_perturb-flow_zero_test.json,0.060657196866467276,0.05919746196075799,0.060657196866467276,0.05299796043162016,22.55620262470651,0.9732559743551414,0.41046419739723206,0.22941755499452987,0.7466936819849813,0.5459020250140035,0.8514673298502222,-0.3055653048362187,0.4056137502193451,0.448850637668641
A,EC-VIAI-AV Candidate-Scorer,"EC-VIAI-AV
Candidate-Scorer",A_stage8_90000_fused_readonly,no_video,/home/sanmu/VIAIpro/checkpoints/ablation_stage10d/A_stage8_90000_fused_readonly/no_video/EC-VIAI-AV-PatchGAN_step000090000_perturb-no_video_test.json,0.06011446781872593,0.058771655528231506,0.06011446781872593,0.052483785902447205,22.491676482748478,0.9739423102281553,0.13528180122375488,0.20812587416235437,0.0,0.36740162211688276,0.0,0.36740162211688276,0.4112721383571625,0.4974341667136971
A,EC-VIAI-AV Candidate-Scorer,"EC-VIAI-AV
Candidate-Scorer",A_stage8_90000_fused_readonly,wrong_video_cross_instrument,/home/sanmu/VIAIpro/checkpoints/ablation_stage10d/A_stage8_90000_fused_readonly/wrong_video_cross_instrument/EC-VIAI-AV-PatchGAN_step000090000_perturb-wrong_video_cross_instrument_test.json,0.06110587536773466,0.05966404516824541,0.06110587536773466,0.05289647279881892,22.42213589840747,0.9738932038193077,0.21347330510616302,0.3004507880182342,0.05194367940301627,0.71319545421036,0.10830783891551038,0.6048876152948496,0.416143000125885,0.32622179581240474
B,Semantic Evidence Fine-Tuning,"Semantic Evidence
Fine-Tuning",B_stage10c_95000_no_perturb,none,/home/sanmu/VIAIpro/checkpoints/ablation_stage10d/B_stage10c_95000_no_perturb/none/EC-VIAI-AV-PatchGAN_step000095000_perturb-none_test.json,0.06266791307605168,0.061178623029882924,0.06266791307605168,0.04976002163590586,22.332093053675713,0.9714740342107459,0.4711468517780304,0.32277547258962974,0.7466936819849813,0.926557662896812,0.9006308247434333,0.025926838153378762,0.3987632095813751,0.40931790733111345
B,Semantic Evidence Fine-Tuning,"Semantic Evidence
Fine-Tuning",B_stage10c_95000_no_perturb,flow_zero,/home/sanmu/VIAIpro/checkpoints/ablation_stage10d/B_stage10c_95000_no_perturb/flow_zero/EC-VIAI-AV-PatchGAN_step000095000_perturb-flow_zero_test.json,0.06017355708048699,0.058435516763835196,0.06017355708048699,0.049998404780165,22.615295998593595,0.9746530941294881,0.41046419739723206,0.22941755499452987,0.7466936819849813,0.7449009410957707,0.8514673298502222,-0.10656638875445153,0.3956543207168579,0.48074699475139676
B,Semantic Evidence Fine-Tuning,"Semantic Evidence
Fine-Tuning",B_stage10c_95000_no_perturb,no_video,/home/sanmu/VIAIpro/checkpoints/ablation_stage10d/B_stage10c_95000_no_perturb/no_video/EC-VIAI-AV-PatchGAN_step000095000_perturb-no_video_test.json,0.060791944614314336,0.059065741462078186,0.060791944614314336,0.05020676313483335,22.410468745738903,0.9740335820376488,0.13528180122375488,0.20812587416235437,0.0,0.5283619837359862,0.0,0.5283619837359862,0.4002363383769989,0.49217066425870537
B,Semantic Evidence Fine-Tuning,"Semantic Evidence
Fine-Tuning",B_stage10c_95000_no_perturb,wrong_video_cross_instrument,/home/sanmu/VIAIpro/checkpoints/ablation_stage10d/B_stage10c_95000_no_perturb/wrong_video_cross_instrument/EC-VIAI-AV-PatchGAN_step000095000_perturb-wrong_video_cross_instrument_test.json,0.06409283692235167,0.061916728806186545,0.06409283692235167,0.04997984602789771,22.028405608014857,0.9713607481889764,0.21347330510616302,0.3004507880182342,0.05194367940301627,0.866813557618793,0.10830783891551038,0.7585057187032826,0.40590938925743103,0.3547541057621762
C,"Semantic Perturbation 5k, w=0.35","Semantic Perturbation
5k, w=0.35",C_stage10d_95000_perturb,none,/home/sanmu/VIAIpro/checkpoints/ablation_stage10d/C_stage10d_95000_perturb/none/EC-VIAI-AV-PatchGAN_step000095000_perturb-none_test.json,0.062353120051681046,0.06040606435705373,0.062353120051681046,0.050378722450795006,22.36182472553659,0.9727492655855557,0.4711468517780304,0.32277547258962974,0.7466936819849813,0.767196464500925,0.9006308247434333,-0.13343436024250818,0.4059681296348572,0.4700737061910943
