step,value
24001,1.116679311
24002,1.028212905
24003,0.8536337018
24004,0.9612707496
24005,1.107892036
24006,0.9717460871
24007,1.11786449
24008,1.005740285
24009,1.144275546
24010,1.387078285
24011,0.8909840584
24012,1.385640621
24013,0.9858525991
24014,1.079634309
24015,1.053429246
24016,1.127220631
24017,1.044821978
24018,0.9798099399
24019,1.079222798
24020,0.9226227403
24021,0.9895323515
24022,1.310482979
24023,1.209728718
24024,1.169929862
24025,0.9339575171
24026,1.235877633
24027,1.135318756
24028,0.800427258
24029,1.095514178
24030,1.014555216
24031,0.7908319831
24032,1.227789164
24033,0.9680408835
24034,1.252871633
24035,0.9779028296
24036,1.368408561
24037,1.077376008
24038,1.156165719
24039,1.077486038
24040,0.9325549603
24041,1.318045735
24042,0.9817394018
24043,1.081183434
24044,0.9698402286
24045,0.868183434
24046,0.9357661009
24047,1.059294701
24048,1.206595421
24049,1.264778733
24050,1.003072023
24051,1.135322809
24052,1.007332563
24053,0.8999117017
24054,0.8273205757
24055,1.109738231
24056,0.965276897
24057,1.223500609
24058,1.353194594
24059,1.006149054
24060,1.039732695
24061,1.373518825
24062,1.149209976
24063,0.8596690297
24064,1.119444251
24065,1.336054683
24066,1.261293292
24067,1.080885649
24068,1.201681614
24069,0.8764564395
24070,1.160178185
24071,0.8503921628
24072,0.9468945265
24073,1.28813529
24074,1.337181091
24075,1.258846641
24076,1.224874377
24077,1.117887497
24078,0.8728862405
24079,1.163235664
24080,1.051605821
24081,1.052547693
24082,1.056704879
24083,1.062278032
24084,0.9457095861
24085,0.9797815084
24086,1.074489832
24087,0.9034873843
24088,1.069169283
24089,0.7002950907
24090,1.071518064
24091,1.202755332
24092,0.6202010512
24093,1.167870283
24094,0.853397131
24095,0.7900728583
24096,0.9450845122
24097,1.065194488
24098,0.9707483649
24099,1.323033929
24100,0.8623768091
24101,1.005105257
24102,0.9809107184
24103,1.142851353
24104,1.233814836
24105,1.143829226
24106,1.14243257
24107,1.085179448
24108,0.9596460462
24109,1.057164431
