step,value
24001,0.9293412566
24002,0.9607625008
24003,0.948812902
24004,0.9401805401
24005,0.9491851926
24006,0.9533441067
24007,0.9546661973
24008,0.9624941349
24009,0.9633171558
24010,0.9600513577
24011,0.9598655105
24012,0.9633045793
24013,0.9675346613
24014,0.9566622972
24015,0.9638264179
24016,0.9583483934
24017,0.9521930814
24018,0.9615712166
24019,0.966311276
24020,0.9461913109
24021,0.9501861334
24022,0.9382695556
24023,0.943595767
24024,0.9712936878
24025,0.9645017982
24026,0.9438447356
24027,0.9570494294
24028,0.940582037
24029,0.9690082073
24030,0.9075545073
24031,0.928560853
24032,0.9303021431
24033,0.9450468421
24034,0.9626982212
24035,0.9711298347
24036,0.9704793692
24037,0.9530930519
24038,0.9551606774
24039,0.9548798203
24040,0.9194772243
24041,0.9374445677
24042,0.9519380927
24043,0.9557375312
24044,0.9613512754
24045,0.9642039537
24046,0.9579952359
24047,0.9634511471
24048,0.9663798809
24049,0.9648883343
24050,0.9538534284
24051,0.9541618824
24052,0.9588620663
24053,0.9414775968
24054,0.9339168668
24055,0.9470379353
24056,0.9524976611
24057,0.9480020404
24058,0.9688229561
24059,0.9637147784
24060,0.9469441772
24061,0.9668581486
24062,0.9643144011
24063,0.9595531821
24064,0.9640803933
24065,0.9621053934
24066,0.9544296861
24067,0.9613919258
24068,0.9640492797
24069,0.9244785905
24070,0.958171308
24071,0.9475582242
24072,0.9649952054
24073,0.9734508395
24074,0.9630507231
24075,0.9605085254
24076,0.9330134988
24077,0.9708510041
24078,0.9443783164
24079,0.9628713727
24080,0.9506157041
24081,0.9705938101
24082,0.9565663934
24083,0.9716419578
24084,0.9575625658
24085,0.9561977983
24086,0.9573333263
24087,0.918617487
24088,0.9738841057
24089,0.9321502447
24090,0.935495019
24091,0.9694731236
24092,0.8635269403
24093,0.9709867239
24094,0.9603745937
24095,0.932199657
24096,0.9291914105
24097,0.9600948691
24098,0.9536834359
24099,0.957332015
24100,0.9520062208
24101,0.9572430253
24102,0.9545860887
24103,0.9509574175
24104,0.9719903469
24105,0.9557036161
24106,0.950287044
24107,0.9478431344
24108,0.961966157
24109,0.9401350617
24110,0.9702534676
24111,0.960868299
24112,0.9734539986
24113,0.9581765532
24114,0.9545997977
24115,0.9637618661
24116,0.958188653
24117,0.962464571
24118,0.9519377351
24119,0.955571115
24120,0.9698706865
24121,0.9571177959
24122,0.9320292473
24123,0.9461427927
24124,0.9568429589
24125,0.9661642313
24126,0.9751828909
24127,0.9017745256
24128,0.9588269591
24129,0.9365776181
24130,0.9730778933
24131,0.9484464526
24132,0.9727746844
24133,0.9596130848
24134,0.9656348825
24135,0.9708274603
24136,0.9388391376
24137,0.9428458214
24138,0.9566726089
24139,0.9429485202
24140,0.9330810308
24141,0.8995474577
24142,0.9534356594
24143,0.9676891565
24144,0.9624317288
24145,0.9664107561
24146,0.9444676638
24147,0.9706273079
24148,0.9547314644
24149,0.9410580993
24150,0.9522205591
24151,0.957988143
24152,0.9410281777
24153,0.9490383267
24154,0.8486466408
24155,0.9600704908
24156,0.9604856372
24157,0.9700456858
24158,0.968444705
24159,0.9697771668
24160,0.9560825825
24161,0.9555943012
24162,0.9453788996
24163,0.9652186632
24164,0.9543586969
24165,0.956484735
24166,0.9567303061
24167,0.9755638242
24168,0.952065587
24169,0.9644593596
24170,0.9396571517
24171,0.9642984271
24172,0.9575250149
24173,0.9696633816
24174,0.9653850198
24175,0.9547796845
24176,0.9480698109
24177,0.9515423775
24178,0.95087111
24179,0.9550057054
24180,0.9672363997
24181,0.9695538878
24182,0.9287647605
24183,0.9514795542
24184,0.9642258286
24185,0.9478617907
24186,0.9562302232
24187,0.9759451151
24188,0.9540035725
24189,0.9499294758
24190,0.968455255
24191,0.9515875578
24192,0.9451680183
24193,0.9357166886
24194,0.9595583677
24195,0.9751039743
24196,0.9564610124
24197,0.9730654955
24198,0.9347913861
24199,0.9592010975
24200,0.9656370878
24201,0.9137952328
24202,0.9774816036
24203,0.9681352377
24204,0.9642913938
24205,0.9380733967
24206,0.8750145435
24207,0.9667505622
24208,0.9664145708
24209,0.9333741665
24210,0.9667630792
24211,0.9538347125
24212,0.9370219707
24213,0.9718892574
24214,0.9655385017
24215,0.9517617822
24216,0.9358314276
24217,0.9606317282
24218,0.9612145424
24219,0.9655550122
24220,0.9667827487
24221,0.9567186236
24222,0.9658941627
24223,0.9569754004
24224,0.9431453347
24225,0.9733589292
24226,0.9545130134
24227,0.9526540637
24228,0.9572374821
24229,0.9605730772
24230,0.9612249732
24231,0.9640004635
24232,0.968570292
24233,0.9353749752
24234,0.9643523693
24235,0.9623780251
24236,0.9476755857
24237,0.9617892504
24238,0.9564840198
24239,0.9581491351
24240,0.940007925
24241,0.9711132646
24242,0.9685982466
24243,0.9693398476
24244,0.9491798282
24245,0.9729249477
24246,0.9552769661
24247,0.9628837705
24248,0.9718176126
24249,0.8910368085
24250,0.9492388368
24251,0.9730561972
24252,0.9617108703
24253,0.9606792331
24254,0.9621406198
24255,0.9364942312
24256,0.9705961943
24257,0.9682850242
24258,0.9628344774
24259,0.9646735787
24260,0.9600387812
24261,0.9522520304
24262,0.9526354074
24263,0.960339129
24264,0.9645482898
24265,0.9683213234
24266,0.9561979175
24267,0.9611860514
24268,0.9506889582
24269,0.9493708014
24270,0.9283999801
24271,0.9664353728
24272,0.9488404989
24273,0.937769711
24274,0.9632852077
24275,0.9586018324
24276,0.9537679553
24277,0.9474014044
24278,0.9566976428
24279,0.9557967186
24280,0.9693251848
24281,0.9474677444
24282,0.9705113769
24283,0.9177306294
24284,0.9615454674
24285,0.9662197828
24286,0.9719913602
24287,0.9510114193
24288,0.9596552253
24289,0.9650924206
24290,0.9554795623
24291,0.8673600554
24292,0.9648231268
24293,0.9270910621
24294,0.9578065276
24295,0.9723374844
24296,0.9483819008
24297,0.958337605
24298,0.9723621011
24299,0.9425929785
24300,0.9616583586
24301,0.9723134041
24302,0.9665113688
24303,0.9721366167
24304,0.9630058408
24305,0.9624505043
24306,0.944594264
24307,0.9215989709
24308,0.9609363675
24309,0.9529992342
24310,0.9564651251
24311,0.9652463794
24312,0.9575378895
24313,0.9514340758
24314,0.9714461565
24315,0.9697067738
24316,0.9544135332
24317,0.9673108459
24318,0.9242630601
24319,0.9461868405
24320,0.9545325637
24321,0.9572092295
24322,0.9684561491
24323,0.956797719
24324,0.9585162401
24325,0.9590162635
24326,0.9404391646
24327,0.9554272294
24328,0.9736684561
24329,0.9630135298
24330,0.9683660865
24331,0.9307825565
24332,0.9563518763
24333,0.9653627276
24334,0.9607380033
24335,0.9589775205
24336,0.9597520232
24337,0.9717960954
24338,0.9650104642
24339,0.9415237904
24340,0.9611875415
24341,0.9684448838
24342,0.9720466733
24343,0.9485909939
24344,0.9675940275
24345,0.9524775743
24346,0.9568877816
24347,0.9649951458
24348,0.9655814767
24349,0.9652629495
24350,0.9621547461
24351,0.9721000791
24352,0.9073698521
24353,0.966242969
24354,0.9591752887
24355,0.9426512122
24356,0.9369286299
24357,0.9660936594
24358,0.9520338178
24359,0.9505316019
24360,0.9544611573
24361,0.9605664611
24362,0.966068387
24363,0.9558224678
24364,0.9443795681
24365,0.9714294076
24366,0.9494414926
24367,0.9697075486
24368,0.9647786617
24369,0.9515696168
24370,0.9559916258
24371,0.9645057321
24372,0.9634894133
24373,0.9715096951
24374,0.9687042832
24375,0.9689519405
24376,0.9558479786
24377,0.9590841532
24378,0.9726768136
24379,0.9640968442
24380,0.9551554918
24381,0.9124490023
24382,0.9496490955
24383,0.9623661637
24384,0.9606078863
24385,0.9628212452
24386,0.9665911198
24387,0.9583966732
24388,0.9678674936
24389,0.9717350602
24390,0.9592882395
24391,0.9616039395
24392,0.9654636979
24393,0.9409874082
24394,0.9553236365
24395,0.969068408
24396,0.9694982171
24397,0.968097806
24398,0.9514276385
24399,0.9700045586
24400,0.961835444
24401,0.973012507
24402,0.9512950182
24403,0.9705024362
24404,0.9589324594
24405,0.9457885623
24406,0.9549679756
24407,0.9605660439
24408,0.9502316117
24409,0.9319532514
24410,0.9645685554
24411,0.9719910026
24412,0.9633472562
24413,0.9646938443
24414,0.9451827407
24415,0.9339932799
24416,0.9596790075
24417,0.9708955288
24418,0.9151582122
24419,0.9497113228
24420,0.9714999199
24421,0.9575425982
24422,0.9724545479
24423,0.9665979743
24424,0.9684993029
24425,0.9645100236
24426,0.9662754536
24427,0.9557932615
24428,0.9643155932
24429,0.9709496498
24430,0.9537526369
24431,0.9685822725
24432,0.9551540017
24433,0.9706678987
24434,0.9694669247
24435,0.9554058313
24436,0.9650775194
24437,0.951797843
24438,0.9595767856
24439,0.9569963813
24440,0.9554166198
24441,0.953602314
24442,0.9424139261
24443,0.9638142586
24444,0.961820364
24445,0.9331311584
24446,0.9624867439
24447,0.9617561102
24448,0.9575453997
24449,0.9488815665
24450,0.9722673297
24451,0.9578058124
24452,0.960557878
24453,0.9414010048
24454,0.9535021186
24455,0.9339452386
24456,0.9531578422
24457,0.9552893043
24458,0.9528159499
24459,0.9656708241
24460,0.956309557
24461,0.9470512867
24462,0.9511578083
24463,0.9610449076
24464,0.9573444724
24465,0.9718797803
24466,0.940417707
24467,0.9487794638
24468,0.9320474863
24469,0.9380536079
24470,0.9705103636
24471,0.947991848
24472,0.9610629678
24473,0.9325387478
24474,0.9465016723
24475,0.9560939074
24476,0.9715154171
24477,0.9622534513
24478,0.9487299919
24479,0.9512220621
24480,0.961990118
24481,0.9573678374
24482,0.9670487642
24483,0.9603776336
24484,0.9718746543
24485,0.9494844079
24486,0.9518395066
24487,0.9720742702
24488,0.9641939402
24489,0.954108119
24490,0.9628004432
24491,0.9592980742
24492,0.9469609857
24493,0.9681273699
24494,0.965952456
24495,0.9712439775
24496,0.9698269367
24497,0.9707587957
24498,0.9525705576
24499,0.9640686512
24500,0.9583777189
24501,0.9623634815
24502,0.9619370103
24503,0.9421500564
24504,0.9616087675
24505,0.9581366777
24506,0.9492048621
24507,0.9468472004
24508,0.958671391
24509,0.9675167799
24510,0.9664544463
24511,0.9624735117
24512,0.9401901364
24513,0.9681965113
24514,0.9617913961
24515,0.9233853817
24516,0.9658081532
24517,0.9576077461
24518,0.9603104591
24519,0.9381709695
24520,0.973483026
24521,0.9038103819
24522,0.9691358805
24523,0.9539378881
24524,0.9684262276
24525,0.9441127181
24526,0.9685544372
24527,0.9542463422
24528,0.9644086957
24529,0.9557009935
24530,0.966155529
24531,0.960285008
24532,0.9389016628
24533,0.9705677629
24534,0.9522289634
24535,0.9616976976
24536,0.9693885446
24537,0.9626993537
24538,0.9696102738
24539,0.9539064765
24540,0.8973237872
24541,0.9533490539
24542,0.9562293291
24543,0.9490854144
24544,0.9635275006
24545,0.9522319436
24546,0.9239925742
24547,0.9548563361
24548,0.9586479664
24549,0.9568727016
24550,0.9028784037
24551,0.9510086179
24552,0.9360209703
24553,0.9672471285
24554,0.9538439512
24555,0.9566146135
24556,0.9212782383
24557,0.9751937985
24558,0.9692308307
24559,0.9629612565
24560,0.9678116441
24561,0.9659409523
24562,0.9325600266
24563,0.9636556506
24564,0.967700541
24565,0.9565302134
24566,0.9273093939
24567,0.918851912
24568,0.9471575022
24569,0.9342162609
24570,0.9537012577
24571,0.9694237113
24572,0.966109097
24573,0.9531145692
24574,0.9597533941
24575,0.9624300599
24576,0.9212361574
24577,0.8998583555
24578,0.9561915994
24579,0.9672067165
24580,0.972215414
24581,0.9640141129
24582,0.9730346799
24583,0.9600563645
24584,0.9425905347
24585,0.953818202
24586,0.9422488809
24587,0.9315103889
24588,0.9660173655
24589,0.9532029629
24590,0.953764081
24591,0.9629929066
24592,0.9654520154
24593,0.9448040724
24594,0.9642484784
24595,0.9485707879
24596,0.9337824583
24597,0.9391330481
24598,0.9389910698
24599,0.9672977328
24600,0.9379741549
24601,0.956253767
24602,0.9033885002
24603,0.8854520321
24604,0.9592553973
24605,0.9714305997
24606,0.9609073997
24607,0.9440102577
24608,0.9371978641
24609,0.9652721882
24610,0.9543646574
24611,0.961150229
24612,0.9707238674
24613,0.9695020318
24614,0.9692598581
24615,0.9483298063
24616,0.964692533
24617,0.9532160163
24618,0.9501516223
24619,0.9558548927
24620,0.9556717873
24621,0.9685070515
24622,0.9653698206
24623,0.9457101226
24624,0.9620624185
24625,0.9712227583
24626,0.9714214802
24627,0.9692735076
24628,0.95717448
24629,0.9405032396
24630,0.9510487318
24631,0.9621540308
24632,0.9666082263
24633,0.9665944576
24634,0.958335042
24635,0.9628614783
24636,0.9416605234
24637,0.965205729
24638,0.9711508155
24639,0.9613765478
24640,0.9574884772
24641,0.9458807707
24642,0.9498511553
24643,0.9626280069
24644,0.9531273842
24645,0.9560948014
24646,0.9684804678
24647,0.9512523413
24648,0.9440073371
24649,0.9619163275
24650,0.9663883448
24651,0.9555373788
24652,0.9626206756
24653,0.959369421
24654,0.9488638639
