step,value
24001,24
24002,27
24003,21
24004,43
24005,38
24006,42
24007,35
24008,49
24009,36
24010,47
24011,30
24012,42
24013,35
24014,25
24015,47
24016,37
24017,48
24018,36
24019,22
24020,21
24021,43
24022,43
24023,31
24024,27
24025,45
24026,24
24027,47
24028,34
24029,22
24030,39
24031,38
24032,41
24033,22
24034,44
24035,49
24036,24
24037,42
24038,42
24039,45
24040,44
24041,34
24042,34
24043,27
24044,22
24045,25
24046,29
24047,36
24048,42
24049,49
24050,28
24051,44
24052,31
24053,21
24054,28
24055,21
24056,45
24057,39
24058,44
24059,26
24060,25
24061,28
24062,49
24063,27
24064,41
24065,26
24066,26
24067,41
24068,41
24069,39
24070,26
24071,25
24072,48
24073,26
24074,38
24075,36
24076,38
24077,48
24078,50
24079,27
24080,41
24081,45
24082,45
24083,23
24084,48
24085,47
24086,26
24087,27
24088,35
24089,46
24090,37
24091,49
24092,28
24093,42
24094,37
24095,22
24096,30
24097,40
24098,39
24099,44
24100,33
24101,20
24102,26
24103,20
24104,39
24105,44
24106,49
24107,21
24108,39
24109,41
24110,50
24111,41
24112,50
24113,38
24114,39
24115,36
24116,34
24117,25
24118,20
24119,39
24120,23
24121,28
24122,20
24123,35
24124,33
24125,50
24126,46
24127,34
24128,47
24129,42
24130,44
24131,37
24132,32
24133,38
24134,45
24135,37
24136,46
24137,22
24138,44
24139,50
24140,34
24141,28
24142,39
24143,46
24144,30
24145,34
24146,47
24147,38
24148,43
24149,38
24150,40
24151,50
24152,38
24153,28
24154,32
24155,21
24156,22
24157,41
24158,50
24159,28
24160,42
24161,41
24162,23
24163,26
24164,25
24165,43
24166,35
24167,27
24168,41
24169,24
24170,43
24171,27
24172,25
24173,37
24174,30
24175,24
24176,41
24177,31
24178,33
24179,32
24180,48
24181,34
24182,25
24183,47
24184,44
24185,40
24186,33
24187,34
24188,40
24189,37
24190,45
24191,29
24192,23
24193,34
24194,36
24195,26
24196,31
24197,47
24198,22
24199,46
24200,30
24201,24
24202,41
24203,20
24204,49
24205,46
24206,37
24207,50
24208,44
24209,49
24210,49
24211,45
24212,47
24213,38
24214,37
24215,29
24216,40
24217,28
24218,31
24219,44
24220,43
24221,31
24222,35
24223,24
24224,43
24225,46
24226,47
24227,31
24228,33
24229,45
24230,44
24231,49
24232,35
24233,32
24234,41
24235,31
24236,34
24237,22
24238,28
24239,25
24240,45
24241,31
24242,40
24243,45
24244,42
24245,24
24246,36
24247,49
24248,31
24249,40
24250,37
24251,44
24252,27
24253,31
24254,39
24255,47
24256,45
24257,21
24258,21
24259,33
24260,42
24261,20
24262,38
24263,37
24264,39
24265,36
24266,49
24267,37
24268,48
24269,36
24270,49
24271,43
24272,50
24273,43
24274,29
24275,23
24276,41
24277,20
24278,25
24279,34
24280,30
24281,39
24282,25
24283,20
24284,44
24285,38
24286,40
24287,41
24288,44
24289,48
24290,26
24291,39
24292,44
24293,37
24294,34
24295,47
24296,33
24297,39
24298,39
24299,39
24300,35
24301,31
24302,42
24303,31
24304,21
24305,29
24306,39
24307,27
24308,38
24309,26
24310,25
24311,39
24312,20
24313,38
24314,38
24315,28
24316,26
24317,28
24318,27
24319,38
24320,44
24321,32
24322,27
24323,35
24324,23
24325,36
24326,26
24327,25
24328,38
24329,33
24330,48
24331,43
24332,41
24333,38
24334,22
24335,26
24336,22
24337,35
24338,22
24339,35
24340,40
24341,45
24342,25
24343,20
24344,48
24345,22
24346,35
24347,26
24348,45
24349,22
24350,35
24351,48
24352,43
24353,21
24354,24
24355,22
24356,46
24357,40
24358,26
24359,50
24360,30
24361,28
24362,40
24363,36
24364,36
24365,38
24366,31
24367,50
24368,36
24369,25
24370,22
24371,44
24372,37
24373,27
24374,21
24375,28
24376,49
24377,25
24378,40
24379,30
24380,20
24381,32
24382,47
24383,37
24384,47
24385,27
24386,37
24387,45
24388,50
24389,23
24390,30
24391,23
24392,40
24393,42
24394,40
24395,45
24396,46
24397,24
24398,24
24399,39
24400,46
24401,29
24402,27
24403,23
24404,44
24405,41
24406,21
24407,44
24408,35
24409,43
24410,39
24411,33
24412,33
24413,30
24414,31
24415,37
24416,46
24417,34
24418,22
24419,42
24420,31
24421,45
24422,50
24423,27
24424,41
24425,43
24426,29
24427,38
24428,49
24429,42
24430,26
24431,46
24432,39
24433,27
24434,49
24435,45
24436,49
24437,42
24438,20
24439,33
24440,27
24441,34
24442,46
24443,31
24444,27
24445,38
24446,39
24447,36
24448,50
24449,26
24450,48
24451,40
24452,20
24453,30
24454,43
24455,23
24456,30
24457,26
24458,49
24459,29
24460,34
24461,34
24462,31
24463,39
24464,22
24465,45
24466,35
24467,24
24468,37
24469,34
24470,42
24471,20
24472,47
24473,29
24474,23
24475,39
24476,49
24477,44
24478,48
24479,32
24480,25
24481,27
24482,43
24483,21
24484,28
24485,23
24486,50
24487,38
24488,32
24489,35
24490,24
24491,20
24492,40
24493,25
24494,35
24495,39
24496,47
24497,48
24498,46
24499,43
24500,28
24501,39
24502,48
24503,21
24504,45
24505,35
24506,47
24507,31
24508,43
24509,32
24510,38
24511,32
24512,48
24513,23
24514,47
24515,46
