step,value
24001,0.1000000015
24002,0.1000000015
24003,0.1000000015
24004,0.1000000015
24005,0.1000000015
24006,0.1000000015
24007,0.1000000015
24008,0.1000000015
24009,0.1000000015
24010,0.1000000015
24011,0.1000000015
24012,0.1000000015
24013,0.1000000015
24014,0.1000000015
24015,0.1000000015
24016,0.1000000015
24017,0.1000000015
24018,0.1000000015
24019,0.1000000015
24020,0.1000000015
24021,0.1000000015
24022,0.1000000015
24023,0.1000000015
24024,0.1000000015
24025,0.1000000015
24026,0.1000000015
24027,0.1000000015
24028,0.1000000015
24029,0.1000000015
24030,0.1000000015
24031,0.1000000015
24032,0.1000000015
24033,0.1000000015
24034,0.1000000015
24035,0.1000000015
24036,0.1000000015
24037,0.1000000015
24038,0.1000000015
24039,0.1000000015
24040,0.1000000015
24041,0.1000000015
24042,0.1000000015
24043,0.1000000015
24044,0.1000000015
24045,0.1000000015
24046,0.1000000015
24047,0.1000000015
24048,0.1000000015
24049,0.1000000015
24050,0.1000000015
24051,0.1000000015
24052,0.1000000015
24053,0.1000000015
24054,0.1000000015
24055,0.1000000015
24056,0.1000000015
24057,0.1000000015
24058,0.1000000015
24059,0.1000000015
24060,0.1000000015
24061,0.1000000015
24062,0.1000000015
24063,0.1000000015
24064,0.1000000015
24065,0.1000000015
24066,0.1000000015
24067,0.1000000015
24068,0.1000000015
24069,0.1000000015
24070,0.1000000015
24071,0.1000000015
24072,0.1000000015
24073,0.1000000015
24074,0.1000000015
24075,0.1000000015
24076,0.1000000015
24077,0.1000000015
24078,0.1000000015
24079,0.1000000015
24080,0.1000000015
24081,0.1000000015
24082,0.1000000015
24083,0.1000000015
24084,0.1000000015
24085,0.1000000015
24086,0.1000000015
24087,0.1000000015
24088,0.1000000015
24089,0.1000000015
24090,0.1000000015
24091,0.1000000015
24092,0.1000000015
24093,0.1000000015
24094,0.1000000015
24095,0.1000000015
24096,0.1000000015
24097,0.1000000015
24098,0.1000000015
24099,0.1000000015
24100,0.1000000015
24101,0.1000000015
24102,0.1000000015
24103,0.1000000015
24104,0.1000000015
24105,0.1000000015
24106,0.1000000015
24107,0.1000000015
24108,0.1000000015
24109,0.1000000015
24110,0.1000000015
24111,0.1000000015
24112,0.1000000015
24113,0.1000000015
24114,0.1000000015
24115,0.1000000015
24116,0.1000000015
24117,0.1000000015
24118,0.1000000015
24119,0.1000000015
24120,0.1000000015
24121,0.1000000015
24122,0.1000000015
24123,0.1000000015
24124,0.1000000015
24125,0.1000000015
24126,0.1000000015
24127,0.1000000015
24128,0.1000000015
24129,0.1000000015
24130,0.1000000015
24131,0.1000000015
24132,0.1000000015
24133,0.1000000015
24134,0.1000000015
24135,0.1000000015
24136,0.1000000015
24137,0.1000000015
24138,0.1000000015
24139,0.1000000015
24140,0.1000000015
24141,0.1000000015
24142,0.1000000015
24143,0.1000000015
24144,0.1000000015
24145,0.1000000015
24146,0.1000000015
24147,0.1000000015
24148,0.1000000015
24149,0.1000000015
24150,0.1000000015
24151,0.1000000015
24152,0.1000000015
24153,0.1000000015
24154,0.1000000015
24155,0.1000000015
24156,0.1000000015
24157,0.1000000015
24158,0.1000000015
24159,0.1000000015
24160,0.1000000015
24161,0.1000000015
24162,0.1000000015
24163,0.1000000015
24164,0.1000000015
24165,0.1000000015
24166,0.1000000015
24167,0.1000000015
24168,0.1000000015
24169,0.1000000015
24170,0.1000000015
24171,0.1000000015
24172,0.1000000015
24173,0.1000000015
24174,0.1000000015
24175,0.1000000015
24176,0.1000000015
24177,0.1000000015
24178,0.1000000015
24179,0.1000000015
24180,0.1000000015
24181,0.1000000015
24182,0.1000000015
24183,0.1000000015
24184,0.1000000015
24185,0.1000000015
24186,0.1000000015
24187,0.1000000015
24188,0.1000000015
24189,0.1000000015
24190,0.1000000015
24191,0.1000000015
24192,0.1000000015
24193,0.1000000015
24194,0.1000000015
24195,0.1000000015
24196,0.1000000015
24197,0.1000000015
24198,0.1000000015
24199,0.1000000015
24200,0.1000000015
24201,0.1000000015
24202,0.1000000015
24203,0.1000000015
24204,0.1000000015
24205,0.1000000015
24206,0.1000000015
24207,0.1000000015
24208,0.1000000015
24209,0.1000000015
24210,0.1000000015
24211,0.1000000015
24212,0.1000000015
24213,0.1000000015
24214,0.1000000015
24215,0.1000000015
24216,0.1000000015
24217,0.1000000015
24218,0.1000000015
24219,0.1000000015
24220,0.1000000015
24221,0.1000000015
24222,0.1000000015
24223,0.1000000015
24224,0.1000000015
24225,0.1000000015
24226,0.1000000015
24227,0.1000000015
24228,0.1000000015
24229,0.1000000015
24230,0.1000000015
24231,0.1000000015
24232,0.1000000015
24233,0.1000000015
24234,0.1000000015
24235,0.1000000015
24236,0.1000000015
24237,0.1000000015
24238,0.1000000015
24239,0.1000000015
24240,0.1000000015
24241,0.1000000015
24242,0.1000000015
24243,0.1000000015
24244,0.1000000015
24245,0.1000000015
24246,0.1000000015
24247,0.1000000015
24248,0.1000000015
24249,0.1000000015
24250,0.1000000015
24251,0.1000000015
24252,0.1000000015
24253,0.1000000015
24254,0.1000000015
24255,0.1000000015
24256,0.1000000015
24257,0.1000000015
24258,0.1000000015
24259,0.1000000015
24260,0.1000000015
24261,0.1000000015
24262,0.1000000015
24263,0.1000000015
24264,0.1000000015
24265,0.1000000015
24266,0.1000000015
24267,0.1000000015
24268,0.1000000015
24269,0.1000000015
24270,0.1000000015
24271,0.1000000015
24272,0.1000000015
24273,0.1000000015
24274,0.1000000015
24275,0.1000000015
24276,0.1000000015
24277,0.1000000015
24278,0.1000000015
24279,0.1000000015
24280,0.1000000015
24281,0.1000000015
24282,0.1000000015
24283,0.1000000015
24284,0.1000000015
24285,0.1000000015
24286,0.1000000015
24287,0.1000000015
24288,0.1000000015
24289,0.1000000015
24290,0.1000000015
24291,0.1000000015
24292,0.1000000015
24293,0.1000000015
24294,0.1000000015
24295,0.1000000015
24296,0.1000000015
24297,0.1000000015
24298,0.1000000015
24299,0.1000000015
24300,0.1000000015
24301,0.1000000015
24302,0.1000000015
24303,0.1000000015
24304,0.1000000015
24305,0.1000000015
24306,0.1000000015
24307,0.1000000015
24308,0.1000000015
24309,0.1000000015
24310,0.1000000015
24311,0.1000000015
24312,0.1000000015
24313,0.1000000015
24314,0.1000000015
24315,0.1000000015
24316,0.1000000015
24317,0.1000000015
24318,0.1000000015
24319,0.1000000015
24320,0.1000000015
24321,0.1000000015
24322,0.1000000015
24323,0.1000000015
24324,0.1000000015
24325,0.1000000015
24326,0.1000000015
24327,0.1000000015
24328,0.1000000015
24329,0.1000000015
24330,0.1000000015
24331,0.1000000015
24332,0.1000000015
24333,0.1000000015
24334,0.1000000015
24335,0.1000000015
24336,0.1000000015
24337,0.1000000015
24338,0.1000000015
24339,0.1000000015
24340,0.1000000015
24341,0.1000000015
24342,0.1000000015
24343,0.1000000015
24344,0.1000000015
24345,0.1000000015
24346,0.1000000015
24347,0.1000000015
24348,0.1000000015
24349,0.1000000015
24350,0.1000000015
24351,0.1000000015
24352,0.1000000015
24353,0.1000000015
24354,0.1000000015
24355,0.1000000015
24356,0.1000000015
24357,0.1000000015
24358,0.1000000015
24359,0.1000000015
24360,0.1000000015
24361,0.1000000015
24362,0.1000000015
24363,0.1000000015
24364,0.1000000015
24365,0.1000000015
