step,value
24001,-0.04998467863
24002,-0.05816078559
24003,-0.05942586064
24004,-0.04746018723
24005,-0.06017351523
24006,-0.05174604803
24007,-0.05944607034
24008,-0.05342127755
24009,-0.0405664444
24010,-0.06028388441
24011,-0.04000638425
24012,-0.04254610091
24013,-0.03837343305
24014,-0.05404630303
24015,-0.04913520813
24016,-0.03434927762
24017,-0.03896872699
24018,-0.04285748675
24019,-0.03461090475
24020,-0.03750123829
24021,-0.04639711231
24022,-0.06542271376
24023,-0.02975387871
24024,-0.04868800566
24025,-0.03799961507
24026,-0.03438129276
24027,-0.03688029945
24028,-0.02338179946
24029,-0.01705852896
24030,-0.03119287267
24031,-0.02946938574
24032,-0.060568057
24033,-0.02939881757
24034,-0.03457855433
24035,-0.02291243896
24036,-0.02209195867
24037,-0.02509841695
24038,-0.02734532952
24039,-0.02329776064
24040,-0.01470661163
24041,-0.05001296848
24042,-0.01758137345
24043,-0.04488087445
24044,-0.03204587847
24045,0.007409900427
24046,-0.02328167856
24047,-0.02981379628
24048,-0.02971770242
24049,-0.04614113271
24050,-0.01376397163
24051,-0.04742025211
24052,-0.03530626744
24053,-0.04600737989
24054,-0.04930423945
24055,-0.07436577976
24056,-0.02636574581
24057,-0.05040033907
24058,-0.06646191329
24059,-0.05811443925
24060,-0.04628838226
24061,-0.05140969157
24062,-0.03276725858
24063,-0.04208980501
24064,-0.02925596386
24065,-0.07159161568
24066,-0.0238532871
24067,-0.04468666017
24068,-0.009504459798
24069,-0.03019326925
24070,-0.03798395023
24071,-0.0156759806
24072,-0.05273367465
24073,-0.057047382
24074,-0.05704727024
24075,-0.0538681522
24076,0.005482628942
24077,-0.04782067239
24078,-0.04775960743
24079,-0.02486103773
24080,-0.03835956007
24081,-0.03306637704
24082,-0.01696958765
24083,-0.05001468956
24084,-0.02864833921
24085,-0.05290955678
24086,-0.01668357104
24087,-0.0496734418
24088,-0.03034897894
24089,-0.02183632925
24090,-0.04404994845
24091,-0.05312984809
24092,-0.03171299398
24093,-0.02612114325
24094,-0.0323824212
24095,-0.03003925085
24096,-0.05216917023
24097,-0.01668570191
24098,-0.01943795383
24099,-0.05768759176
24100,-0.01006367803
24101,-0.05147046596
24102,-0.02280779555
24103,-0.0347577557
24104,-0.0300283134
24105,0.001125007868
24106,-0.03888077289
24107,-0.04717110842
24108,-0.03513053805
24109,-0.02419846877
24110,-0.02447761595
24111,-0.009988278151
24112,-0.00466979295
24113,-0.02095022798
24114,-0.04707070813
24115,-0.03155646101
24116,-0.009888231754
24117,-0.02282877639
24118,-0.03190891445
24119,-0.03169696033
24120,-0.03279303014
24121,0.009907796979
24122,-0.01906242594
24123,-0.03587510437
24124,-0.007190704346
24125,-0.01923999563
24126,-0.04073722661
24127,-0.03312728181
24128,-0.0309542343
24129,-0.03736819327
24130,-0.02940174937
24131,-0.01558722183
24132,-0.02091871202
24133,-0.03177270293
24134,-0.04228004068
24135,-0.04489026219
24136,-0.03217943385
24137,-0.006260082126
24138,-0.03407472372
24139,-0.04144623876
24140,-0.05070514232
24141,-0.02118358389
24142,-0.02723892778
24143,-0.04975647479
24144,-0.04091344029
24145,-0.03710382432
24146,-0.0298505649
24147,-0.0340789035
24148,-0.01319785416
24149,-0.05551377311
24150,-0.04250627011
24151,-0.02299039066
24152,-0.04374064505
24153,0.001299627125
24154,-0.03516590223
24155,-0.03867276385
24156,-0.04985369369
24157,-0.04855353385
24158,-0.03764185682
24159,-0.03897663206
24160,-0.03051725402
24161,-0.0314045921
24162,-0.05013168603
24163,-0.04164982587
24164,-0.03944637254
24165,-0.04285542667
24166,-0.04924922436
24167,-0.01441152766
24168,-0.007663983852
24169,-0.05527763069
24170,-0.0311765559
24171,-0.05693626404
24172,-0.03324519098
24173,-0.02351552993
24174,-0.03043464571
24175,-0.0160715282
24176,-0.04357237741
24177,-0.01968931034
24178,-0.02909377962
24179,0.01413206756
24180,-0.03071710095
24181,-0.03015100211
24182,-0.0293058455
24183,-0.03488425538
24184,-0.01645334065
24185,-0.02171409875
24186,-0.004259042442
24187,-0.007774665952
24188,-0.05216839164
24189,-0.00605700165
24190,0.003544189036
24191,-0.007594048977
24192,-0.01668039709
24193,-0.01513165981
24194,-0.002084732056
24195,-0.03099348769
24196,-0.02574822679
24197,-0.01135294139
24198,0.01700852066
24199,-0.01844478026
24200,-0.02818355709
24201,-0.0420530811
24202,0.008170202374
24203,-0.02971401811
24204,0.02471066266
24205,0.02220202237
24206,-0.05556107685
24207,-0.01547828317
24208,-0.0254826881
24209,0.008122622967
24210,-0.01053599268
24211,-0.0259815231
24212,-0.05372917652
24213,-0.02642418444
24214,-0.02111757547
24215,-0.04541647062
24216,-0.008445754647
24217,-0.006997764111
24218,-0.02416339144
24219,0.01346382499
24220,-0.01481293514
24221,0.003027275205
24222,-0.01120062917
24223,-0.05847404897
24224,-0.02636377513
24225,-0.00400544703
24226,-0.02718200535
24227,-0.03592213616
24228,-0.01993453875
24229,-0.03517763317
24230,-0.01311675459
24231,-0.008013054729
24232,-0.05548495054
24233,-0.05890940875
24234,-0.03484380618
24235,-0.04068084434
24236,-0.01475083828
24237,-0.04975344241
24238,-0.01992985979
24239,-0.002162747085
24240,-0.01698376983
24241,-0.01935563982
24242,-0.01935432851
24243,-0.01834660769
24244,-0.002250209451
24245,0.01985940337
24246,-0.02928470075
24247,-0.05605293065
24248,-0.002501010895
24249,-0.02158995531
24250,-0.02499338984
24251,-0.01203286648
24252,-0.01338871568
24253,-0.03304227069
24254,-0.01287278533
24255,0.0007173418999
24256,-0.02930155396
24257,-0.02185476944
24258,-0.05463774502
24259,0.02264967561
24260,-0.03281245381
24261,-0.03519703448
24262,0.01001854241
24263,-0.01250565052
24264,-0.03572845459
24265,-0.02218470722
24266,-0.01750553399
24267,-0.02574799955
24268,0.01182750612
24269,0.005097970366
24270,0.01551991701
24271,-0.02746845782
24272,-0.01420683041
24273,-0.04896128923
24274,-0.05425098538
24275,-0.04846163839
24276,-0.01980555803
24277,-0.01450644433
24278,0.005004540086
24279,-0.01193258166
24280,-0.03912620619
24281,-0.01967893913
24282,-0.01340902597
24283,-0.06136173755
24284,-0.03860504553
24285,-0.04836388677
24286,-0.006415724754
24287,0.01256330311
24288,-0.02750588581
24289,-0.01534181088
24290,-0.04464139789
24291,-0.03521708399
24292,-0.02401895076
24293,-0.02096258104
24294,-0.007993839681
24295,-0.00600259006
24296,-0.02588552982
24297,-0.03152845055
24298,-0.02861165255
24299,-0.04016750678
24300,-0.02197580412
24301,-0.06627801061
24302,-0.02665505558
24303,0.004580393434
24304,-0.04695104063
24305,-0.02971442789
24306,-0.03720486164
24307,-0.01015922427
24308,-0.02277465165
24309,0.01009722799
24310,-0.001924179494
24311,-0.02965116501
24312,-0.0100851953
24313,-0.004551872611
24314,-0.01707912982
24315,0.003532104194
24316,-0.04733236879
24317,-0.02975070849
24318,-0.02016525529
24319,-0.03103326261
24320,-0.0001842230558
