step,value
24001,0.4767162502
24002,0.2726772428
24003,0.2960884869
24004,0.242179513
24005,0.3162801862
24006,0.303912133
24007,0.3103162646
24008,0.2253526896
24009,0.3218734264
24010,0.3128261268
24011,0.291639328
24012,0.3485375345
24013,0.317335248
24014,0.3018043339
24015,0.2705695331
24016,0.466692239
24017,0.3008916676
24018,0.2372048199
24019,0.2959496975
24020,0.3203501999
24021,0.2764904201
24022,0.3055502772
24023,0.2989458442
24024,0.2959205508
24025,0.22212708
24026,0.4037296772
24027,0.2273532599
24028,0.3116029203
24029,0.2630876303
24030,0.3430628181
24031,0.2737290263
24032,0.2788800001
24033,0.3013534546
24034,0.3484243751
24035,0.2877979875
24036,0.2898863256
24037,0.4704494178
24038,0.329507947
24039,0.3260721266
24040,0.2542380691
24041,0.514606297
24042,0.1962191463
24043,0.3178394139
24044,0.2672640681
24045,0.2348983735
24046,0.2183133811
24047,0.2976626456
24048,0.3002623916
24049,0.250456661
24050,0.3611385822
24051,0.3420432508
24052,0.2266123742
24053,0.237412259
24054,0.2525539696
24055,0.1833844036
24056,0.2619930506
24057,0.320718199
24058,0.2612626851
24059,0.3207683861
24060,0.3167973757
24061,0.3310876489
24062,0.2880232334
24063,0.2859185636
24064,0.355917722
24065,0.2405595779
24066,0.2864244282
24067,0.3204116225
24068,0.39016819
24069,0.3169032931
24070,0.2708317637
24071,0.3173144758
24072,0.2852671742
24073,0.2926048338
24074,0.323138684
24075,0.2836077213
24076,0.4497788548
24077,0.2707024515
24078,0.3163356483
24079,0.2858069837
24080,0.3071603179
24081,0.363745153
24082,0.2914070487
24083,0.3080101311
24084,0.2702711821
24085,0.3744976521
24086,0.2851502299
24087,0.3352062702
24088,0.244233951
24089,0.4300675094
24090,0.307207197
24091,0.1894958466
24092,0.7736210823
24093,0.2346980572
24094,0.2618839443
24095,0.2776165009
24096,0.2975637019
24097,0.2323967516
24098,0.2294781804
24099,0.3486660123
24100,0.236385107
24101,0.2839314342
24102,0.3205418885
24103,0.4751928449
24104,0.3250614405
24105,0.3346713483
24106,0.357445538
24107,0.2799540758
24108,0.2314669788
24109,0.4877562821
24110,0.3040690124
24111,0.2802478671
24112,0.3002772033
24113,0.3022575676
24114,0.3156602085
24115,0.2878594697
24116,0.1951614767
24117,0.3062674999
24118,0.2496092469
24119,0.3051272035
24120,0.2902395427
24121,0.3899165392
24122,0.4856381118
24123,0.2468041331
24124,0.2339891344
24125,0.3205425143
24126,0.2637679279
24127,0.5072618127
24128,0.3425844908
24129,0.281104207
24130,0.2648779452
24131,0.3001919091
24132,0.2208348513
24133,0.2162275463
24134,0.2504363954
24135,0.2901619971
24136,0.2241565585
24137,0.2691716254
24138,0.2814857662
24139,0.3334165812
24140,0.4506672621
24141,0.7066394091
24142,0.2532560527
24143,0.2445667982
24144,0.3492480218
24145,0.3358763158
24146,0.469882071
24147,0.3130527139
24148,0.3007781804
24149,0.2674764991
24150,0.3078818917
24151,0.2674190104
24152,0.4327726364
24153,0.3016103208
24154,0.6821375489
24155,0.3089706302
24156,0.2681612968
24157,0.3072578013
24158,0.2903072834
24159,0.2608359158
24160,0.2376039326
24161,0.2214734256
24162,0.289430052
24163,0.3032734394
24164,0.2221322805
24165,0.2390038222
24166,0.2881052792
24167,0.3464195728
24168,0.3774406612
24169,0.28320086
24170,0.2186015695
24171,0.2980409563
24172,0.2578545213
24173,0.3071098924
24174,0.2850083709
24175,0.1814063638
24176,0.2661831677
24177,0.3221961558
24178,0.3979780972
24179,0.2821720839
24180,0.2459281385
24181,0.3064311445
24182,0.2841297984
24183,0.2862928212
24184,0.3311503232
24185,0.2491027266
24186,0.3364450634
24187,0.28451249
24188,0.2481263727
24189,0.3199976981
24190,0.3307786882
24191,0.4250206947
24192,0.3334034085
24193,0.2375944853
24194,0.3840553761
24195,0.2245269269
24196,0.3520781398
24197,0.2756357193
24198,0.2245402485
24199,0.3673604727
24200,0.2670549452
24201,0.3033786416
24202,0.325537771
24203,0.2632397413
24204,0.2222793102
24205,0.2955013812
24206,0.2869361639
24207,0.2861734033
24208,0.2443944514
24209,0.2747569978
24210,0.2754503489
24211,0.3950664103
24212,0.3649069965
24213,0.3072823286
24214,0.2768877447
24215,0.3063212335
24216,0.2749489844
24217,0.2651588619
24218,0.3757960498
24219,0.3271254897
24220,0.2965637743
24221,0.3763474524
24222,0.2847145498
24223,0.2592410147
24224,0.3746456802
24225,0.3016521633
24226,0.3211979866
24227,0.2886376381
24228,0.321693033
24229,0.4539713562
24230,0.2738400996
24231,0.3131245673
24232,0.3378638625
24233,0.2902058065
24234,0.2664790452
24235,0.1988550872
24236,0.2354332954
24237,0.3558581769
24238,0.3284357488
24239,0.3490847945
24240,0.2981944084
24241,0.212833032
24242,0.2737446725
24243,0.2971183658
24244,0.3459526896
24245,0.3616915941
24246,0.2852725685
