step,value
24001,0.1671811342
24002,0.6368348002
24003,0.5430099368
24004,0.5454816818
24005,0.4099423289
24006,0.4053985178
24007,0.5135343671
24008,0.5805354118
24009,0.5231778622
24010,0.7924041152
24011,0.5205179453
24012,0.6099057794
24013,0.5440737009
24014,0.6068895459
24015,0.6552398801
24016,0.6457133293
24017,0.4967412055
24018,0.6268815398
24019,0.6293399334
24020,0.6917840242
24021,0.6371127963
24022,0.882109046
24023,0.7004216313
24024,0.5979716182
24025,0.4615731239
24026,0.5337054133
24027,0.5210316181
24028,0.5608493686
24029,0.5010669231
24030,0.6637511849
24031,0.5096264482
24032,0.8158196807
24033,0.2823972106
24034,0.5748272538
24035,0.487770915
24036,0.6699561477
24037,0.5287889242
24038,0.5987155437
24039,0.6033353209
24040,0.5124534369
24041,0.617100358
24042,0.5381505489
24043,0.7128358483
24044,0.469396323
24045,0.5250402689
24046,0.4486635327
24047,0.7140084505
24048,0.5836635232
24049,0.683837533
24050,0.5455507636
24051,0.422660619
24052,0.5247715712
24053,0.3112965524
24054,0.4200327396
24055,0.6127197742
24056,0.496491909
24057,0.4694666266
24058,0.6127277613
24059,0.2466236651
24060,0.5333058238
24061,0.5760301948
24062,0.4454557598
24063,0.3964149058
24064,0.5302854776
24065,0.6723997593
24066,0.5586193204
24067,0.6070065498
24068,0.6644463539
24069,0.5491895676
24070,0.6399119496
24071,0.4683278501
24072,0.530161798
24073,0.5226778984
24074,0.7342843413
24075,0.7224992514
24076,0.7234769464
24077,0.506847024
24078,0.4830640852
24079,0.6882549524
24080,0.7403404117
24081,0.5682071447
24082,0.5602433085
24083,0.6477347612
24084,0.431823194
24085,0.4461266994
24086,0.661688447
24087,0.5143289566
24088,0.4993593693
24089,0.4301498234
24090,0.710277319
24091,0.485059768
24092,0.678704679
24093,0.4316059947
24094,0.5106098652
24095,0.4943964183
24096,0.4062449932
24097,0.4214092493
24098,0.3438009918
24099,0.5530592203
24100,0.3015908897
24101,0.4352554679
24102,0.5356783867
24103,0.3777828515
24104,0.480789423
24105,0.7263506651
24106,0.8154993653
24107,0.5384043455
24108,0.435739696
24109,0.639356792
24110,0.7406774759
24111,0.7964421511
24112,0.6257480979
24113,0.5213660598
24114,0.7283757925
24115,0.5009303689
24116,0.3442344368
24117,0.6383951306
24118,0.7223372459
24119,0.5255996585
24120,0.5476921201
24121,0.8164285421
24122,0.8225019574
24123,0.7090747356
24124,0.452472806
24125,0.7744591236
24126,0.6550688744
24127,0.7484653592
24128,0.5209266543
24129,0.4566923976
24130,0.5382087827
24131,0.4403309822
24132,0.4935053587
24133,0.508133769
24134,0.493714124
24135,0.5994380713
24136,0.370089978
24137,0.6264092326
24138,0.2463445067
24139,0.4143083394
24140,0.5775907636
24141,0.9278402925
24142,0.5950685143
24143,0.3224515617
24144,0.380444169
24145,0.3538679481
24146,0.6193569899
24147,0.5801574588
24148,0.6597418785
24149,0.4193209708
24150,0.5211974382
24151,0.5732885003
24152,0.8491643667
24153,0.6861048937
24154,0.975717783
24155,0.4273613393
24156,0.5871431828
24157,0.5489134192
24158,0.3753623366
24159,0.4521599114
24160,0.4265137315
24161,0.3914310038
24162,0.3620555401
24163,0.5644253492
24164,0.4409739673
24165,0.5795233846
24166,0.5426437259
24167,0.722392261
24168,0.5780052543
24169,0.6526877284
24170,0.5361607671
24171,0.6001148224
24172,0.4170441628
24173,0.6013385653
24174,0.3875603676
24175,0.2736647129
24176,0.4183666706
24177,0.7484155297
24178,0.6683120131
24179,0.3574080765
24180,0.520039022
24181,0.6728939414
24182,0.3293862045
24183,0.3204215467
24184,0.5503320098
24185,0.4109741151
24186,0.6186287403
24187,0.5332129002
24188,0.3709693253
24189,0.7733834386
24190,0.4936882257
24191,0.9000030756
24192,0.7683656812
24193,0.3102370501
24194,0.3796547651
24195,0.3837640584
24196,0.7715911865
24197,0.5122133493
24198,0.4219381511
24199,0.7563902736
24200,0.6063655019
24201,0.8035003543
24202,0.5328683853
24203,0.5145527124
24204,0.3564424515
24205,0.6291937828
24206,0.1722138673
24207,0.2910649478
24208,0.6162602901
24209,0.3476800323
24210,0.336738646
24211,0.7036649585
24212,0.5428356528
24213,0.7313578725
24214,0.6959192157
24215,0.4303827882
24216,0.4303612411
24217,0.53981179
24218,0.9179416299
24219,0.6570317149
24220,0.7593588233
24221,0.501894176
24222,0.8205263615
24223,0.6632336378
24224,0.9103521109
24225,0.8504312634
24226,0.8388454318
24227,0.8818904161
24228,0.6736267209
24229,0.8730247021
24230,0.513638556
24231,0.5188958049
24232,0.8782390952
24233,0.5235422254
24234,0.7981936336
24235,0.5556798577
24236,0.6387065053
24237,0.7053140998
24238,0.6751300097
24239,0.6994569302
24240,0.4487905502
24241,0.5450270176
24242,0.5129957795
24243,0.5041527748
24244,0.4575190544
24245,0.6271064878
24246,0.560162127
24247,0.516710043
24248,0.6328366399
24249,0.9159293771
24250,0.4685947001
24251,0.6225474477
24252,0.3636916578
24253,0.4702056944
24254,0.527113378
24255,0.3429403603
24256,0.5468364358
24257,0.3988879025
24258,0.3823217452
24259,0.5765675306
24260,0.5624411702
24261,0.4155452251
24262,0.5263693929
24263,0.5625610948
24264,0.5207824111
24265,0.6370176673
24266,0.6108049154
24267,0.7411035895
24268,0.4827752411
24269,0.5490840673
24270,0.5848719478
24271,0.5700777769
24272,0.6209647655
24273,0.6819934845
24274,0.7085453868
24275,0.6750819087
24276,0.9055036902
24277,0.7094500065
24278,0.7369964719
24279,0.7012329698
24280,0.6570240259
24281,0.6266385317
24282,0.5893409252
24283,0.8949146867
24284,0.6200328469
24285,0.438889116
24286,0.4768810272
24287,0.4790828228
24288,0.6307148933
24289,0.7377426624
24290,0.4691388607
24291,0.9917647243
24292,0.6331265569
24293,0.6981554031
24294,0.4131207168
24295,0.5923821926
24296,0.8862187266
24297,0.5986443162
24298,0.588262856
24299,0.713917315
24300,0.5138388872
24301,0.5859337449
24302,0.5920027494
24303,0.332713455
24304,0.498266995
24305,0.5102716088
24306,0.4978625774
24307,0.7150108814
24308,0.3285645247
24309,0.5964779258
24310,0.3268161714
24311,0.5980334282
24312,0.4752340913
24313,0.7106800079
24314,0.2732459605
24315,0.385512203
24316,0.7197319269
24317,0.2977126837
24318,0.7129745483
24319,0.5890691876
24320,0.3799520731
24321,0.4377542734
24322,0.4615369737
24323,0.2538487017
24324,0.7179552913
24325,0.600538075
24326,0.3734491169
24327,0.5114789605
24328,0.5242633224
24329,0.5391525626
24330,0.522895813
24331,0.6914334893
24332,0.5495494604
24333,0.5985454321
24334,0.3633104861
24335,0.5730338693
24336,0.8159320354
24337,0.5077095628
24338,0.8512783051
24339,0.3772466183
24340,0.6644813418
24341,0.4116387367
24342,0.4932101071
24343,0.5052731633
24344,0.6799356341
24345,0.5092538595
24346,0.6271822453
24347,0.6217830181
24348,0.4632045627
24349,0.571862638
24350,0.5083002448
24351,0.6465954781
24352,0.8911004066
24353,0.5160113573
24354,0.3098815084
24355,0.5782827139
24356,0.6066809893
24357,0.3731943071
24358,0.2086246908
24359,0.3792447746
24360,0.2195583582
24361,0.2669838667
24362,0.2537187934
24363,0.2215378731
24364,0.2601812482
24365,0.5541963577
24366,0.1524097174
24367,0.3969958425
24368,0.2455050796
24369,0.3827373683
24370,0.2429395616
24371,0.4549945891
24372,0.5606508851
24373,0.7088449001
24374,0.5215181112
24375,0.5086839795
24376,0.4747500718
24377,0.5240885615
24378,0.7578114867
24379,0.801145792
24380,0.6706644297
24381,0.8236705065
24382,0.6025130153
24383,0.3398301005
24384,0.6400440335
24385,0.39199242
24386,0.3918857574
24387,0.5748536587
24388,0.4459589422
24389,0.6586307287
24390,0.6318132281
24391,0.5142624974
24392,0.5442665815
24393,0.518996954
24394,0.4751247168
24395,0.5320456624
24396,0.5738161802
24397,0.7113153934
24398,0.2695936561
24399,0.5049490333
24400,0.4647256136
24401,0.4657666385
24402,0.5430430174
24403,0.6330437064
24404,0.4591878951
