step,value
24001,-0.8328188658
24002,0.310062319
24003,-0.01787501574
24004,0.5236865282
24005,-0.3528595567
24006,-0.2337228954
24007,-0.1896283031
24008,0.5805354118
24009,-0.295556426
24010,0.06414276361
24011,0.004124641418
24012,-0.3900942206
24013,-0.2292788029
24014,-0.01115387678
24015,0.3495444953
24016,-0.3542866707
24017,-0.112175554
24018,0.6268815398
24019,0.06984293461
24020,-0.1117180586
24021,0.2722085416
24022,0.2266062498
24023,0.1109631658
24024,0.0387660861
24025,0.4615731239
24026,-0.4662945867
24027,0.5210316181
24028,-0.1551799178
24029,0.2701905668
24030,-0.3362488151
24031,0.1723361313
24032,0.4270196259
24033,-0.3311373591
24034,-0.4251727462
24035,0.009790986776
24036,0.171092838
24037,-0.4712110758
24038,-0.2963639498
24039,-0.2573860288
24040,0.3700726926
24041,-0.382899642
24042,0.5381505489
24043,-0.06555837393
24044,0.1967555881
24045,0.5250402689
24046,0.4486635327
24047,0.1373819113
24048,-0.01896041632
24049,0.5792708397
24050,-0.4544492364
24051,-0.5773394108
24052,0.5247715712
24053,0.3112965524
24054,0.2944929898
24055,0.6127197742
24056,0.2765613496
24057,-0.3377154469
24058,0.400100857
24059,-0.5610603094
24060,-0.2346679568
24061,-0.3348463178
24062,-0.03477662802
24063,-0.0627707839
24064,-0.4697145224
24065,0.666803956
24066,0.0943749845
24067,-0.1971096992
24068,-0.3355536461
24069,-0.2198433876
24070,0.3315942585
24071,-0.3048169911
24072,0.07749000192
24073,-0.003370523453
24074,-0.09710258245
24075,0.2864219844
24076,-0.2765230536
24077,0.1998224556
24078,-0.2802924812
24079,0.2301850617
24080,0.06873720884
24081,-0.4317928553
24082,0.04617279768
24083,-0.03236663342
24084,0.1291113198
24085,-0.5538733006
24086,0.210186094
24087,-0.4377337694
24088,0.4570198059
24089,-0.5698502064
24090,0.038205266
24091,0.485059768
24092,-0.321295321
24093,0.4316059947
24094,0.2917703688
24095,0.1182313561
24096,-0.1693921089
24097,0.4214092493
24098,0.3438009918
24099,-0.4469407797
24100,0.3015908897
24101,-0.004058927298
24102,-0.2697405815
24103,-0.6222171783
24104,-0.3698250055
24105,-0.2203629017
24106,-0.1845006347
24107,0.1388635337
24108,0.435739696
24109,-0.360643208
24110,0.09998726845
24111,0.3939634264
24112,0.02297598124
24113,-0.1012097001
24114,-0.02822637558
24115,0.02233561873
24116,0.3442344368
24117,-0.02427989244
24118,0.6262447238
24119,-0.1256724
24120,0.0452966094
24121,-0.1835714579
24122,-0.1774980426
24123,0.6410333514
24124,0.452472806
24125,-0.03096604347
24126,0.4173895419
24127,-0.2515346408
24128,-0.4790733457
24129,0.04565027356
24130,0.2894292772
24131,-0.161588192
24132,0.4935053587
24133,0.508133769
24134,0.3893501163
24135,0.09781801701
24136,0.370089978
24137,0.3346929252
24138,-0.1685132086
24139,-0.5198575258
24140,-0.4224092364
24141,-0.07215970755
24142,0.4625079334
24143,0.2767835259
24144,-0.619555831
24145,-0.6048952937
24146,-0.3806430101
24147,-0.1503697038
24148,0.05195999146
24149,0.1445559263
24150,-0.1576215029
24151,0.2990983427
24152,-0.1508356333
24153,0.07000160217
24154,-0.02428221703
24155,-0.2623449862
24156,0.3055301607
24157,-0.1236646771
24158,-0.1277105212
24159,0.2438006997
24160,0.4265137315
24161,0.3914310038
24162,-0.132245034
24163,-0.06830906868
24164,0.4409739673
24165,0.5795233846
24166,0.06159088016
24167,-0.277607739
24168,-0.4219947457
24169,0.2206790745
24170,0.5361607671
24171,0.01970517635
24172,0.2384988964
24173,-0.06976038218
24174,-0.06252339482
24175,0.2736647129
24176,0.15653494
24177,-0.07354611158
24178,-0.3316879869
24179,-0.06431281567
24180,0.4607575834
24181,0.008582413197
24182,-0.1119118333
24183,-0.1425067186
24184,-0.3611713052
24185,0.3199467957
24186,-0.3458219767
24187,0.08808794618
24188,0.2897055447
24189,-0.02659362555
24190,-0.4140987396
24191,-0.0999969244
24192,-0.1656684279
24193,0.3102370501
24194,-0.6203452349
24195,0.3837640584
24196,-0.2284088135
24197,0.1558561027
24198,0.4219381511
24199,-0.2436097264
24200,0.3358159959
24201,0.1697139144
24202,-0.322509408
24203,0.2821552455
24204,0.3564424515
24205,0.07417988777
24206,-0.2971478105
24207,-0.1706691384
24208,0.5723156929
24209,0.0001100003719
24210,-0.01776489615
24211,-0.2963350415
24212,-0.4571643472
24213,0.05853456259
24214,0.3270417154
24215,-0.2328296304
24216,0.08087134361
24217,0.2882231176
24218,-0.08205837011
24219,-0.214223206
24220,0.1937209964
24221,-0.498105824
24222,0.37338081
24223,0.470823437
24224,-0.08964788914
24225,0.2339095473
24226,0.02686554193
24227,0.3955139816
24228,-0.1433036923
24229,-0.1269752979
24230,0.1752375066
24231,-0.2123499513
24232,-0.1003995538
24233,0.02148407698
24234,0.5334031582
24235,0.5556798577
24236,0.6387065053
24237,-0.2946859002
24238,-0.209227562
24239,-0.3005430698
24240,-0.1331535578
24241,0.5450270176
24242,0.1755490005
24243,-0.06703090668
24244,-0.5424809456
24245,-0.3728935122
24246,0.1074363887
24247,-0.1992900372
24248,-0.3671633601
24249,-0.08407062292
24250,0.07188540697
24251,-0.03087574244
24252,0.3636916578
24253,0.4702056944
24254,0.2521131933
24255,0.3044719696
24256,-0.2239230275
24257,-0.6000316143
24258,-0.5199443102
24259,0.08134517074
24260,-0.3373546004
24261,-0.4824465513
24262,-0.1291438937
24263,0.5625610948
24264,-0.4792175889
24265,0.1500919759
24266,0.351067692
24267,-0.2588964105
24268,-0.5172247887
24269,0.04113638401
24270,-0.4151280522
24271,0.06776189804
24272,-0.00756072998
24273,-0.3180065155
24274,0.1685649753
24275,0.3219164908
24276,-0.09449630976
24277,-0.2905499935
24278,-0.2630035281
24279,0.1409992576
24280,0.2765134871
24281,0.2541424334
24282,-0.2361063957
24283,-0.1050853133
24284,0.4264082015
24285,0.1435494423
24286,-0.1964322329
24287,-0.3767720461
24288,0.2800147235
24289,-0.2622573376
24290,-0.5308611393
24291,-0.008235275745
24292,-0.0446344018
24293,-0.1378508806
24294,0.4131207168
24295,-0.2115629911
24296,-0.1137812734
24297,0.3913562
24298,-0.04651218653
24299,-0.286082685
24300,-0.4861611128
24301,0.2568000257
24302,0.2649140656
24303,0.332713455
24304,0.1647109091
24305,-0.1603016257
24306,-0.5021374226
24307,0.7150108814
24308,0.3285645247
24309,-0.4035220742
24310,0.3268161714
24311,-0.2047524452
24312,0.152708143
24313,-0.2893199921
24314,0.2732459605
24315,-0.08470094204
24316,-0.09003281593
24317,0.2977126837
24318,-0.2870254517
24319,-0.4109308124
24320,0.2924175858
24321,-0.5622457266
24322,-0.03884747624
24323,-0.1360626817
24324,-0.1412646174
24325,-0.399461925
24326,0.2704238296
24327,-0.4885210395
24328,0.4841601253
24329,-0.4090767503
24330,0.07346591353
24331,-0.1804655194
24332,-0.07741260529
24333,0.07819640636
24334,0.3633104861
24335,0.1111701429
24336,0.1403778791
24337,0.5077095628
24338,-0.1487216949
