step,value
24001,1
24002,0.3267724812
24003,0.5608849525
24004,0.02179518342
24005,0.7628018856
24006,0.6391214132
24007,0.7031626701
24008,0
24009,0.8187342882
24010,0.7282613516
24011,0.5163933039
24012,1
24013,0.7733525038
24014,0.6180434227
24015,0.3056953847
24016,1
24017,0.6089167595
24018,0
24019,0.5594969988
24020,0.8035020828
24021,0.3649042547
24022,0.6555027962
24023,0.5894584656
24024,0.5592055321
24025,0
24026,1
24027,0
24028,0.7160292864
24029,0.2308763564
24030,1
24031,0.3372903168
24032,0.3888000548
24033,0.6135345697
24034,1
24035,0.4779799283
24036,0.4988633096
24037,1
24038,0.8950794935
24039,0.8607213497
24040,0.1423807442
24041,1
24042,0
24043,0.7783942223
24044,0.2726407349
24045,0
24046,0
24047,0.5766265392
24048,0.6026239395
24049,0.1045666635
24050,1
24051,1
24052,0
24053,0
24054,0.1255397499
24055,0
24056,0.2199305594
24057,0.8071820736
24058,0.2126269042
24059,0.8076839447
24060,0.7679737806
24061,0.9108765125
24062,0.4802323878
24063,0.4591856897
24064,1
24065,0.005595833063
24066,0.4642443359
24067,0.8041162491
24068,1
24069,0.7690329552
24070,0.3083176911
24071,0.7731448412
24072,0.4526717961
24073,0.5260484219
24074,0.8313869238
24075,0.4360772669
24076,1
24077,0.3070245683
24078,0.7633565664
24079,0.4580698907
24080,0.6716032028
24081,1
24082,0.5140705109
24083,0.6801013947
24084,0.3027118742
24085,1
24086,0.451502353
24087,0.952062726
24088,0.04233956337
24089,1
24090,0.672072053
24091,0
24092,1
24093,0
24094,0.2188394964
24095,0.3761650622
24096,0.5756371021
24097,0
24098,0
24099,1
24100,0
24101,0.4393143952
24102,0.8054189682
24103,1
24104,0.8506144285
24105,0.9467135668
24106,1
24107,0.3995408118
24108,0
24109,1
24110,0.6406902075
24111,0.4024787247
24112,0.6027721167
24113,0.6225757599
24114,0.7566021681
24115,0.4785947502
24116,0
24117,0.6626750231
24118,0.09609252214
24119,0.6512720585
24120,0.5023955107
24121,1
24122,1
24123,0.06804138422
24124,0
24125,0.8054251671
24126,0.2376793325
24127,1
24128,1
24129,0.411042124
24130,0.2487795055
24131,0.6019191742
24132,0
24133,0
