step,value
24001,0.1684188247
24002,0.2252044529
24003,0.1495227218
24004,0.1223981529
24005,0.2708229423
24006,0.1545488536
24007,0.2390954643
24008,0.1546199322
24009,0.2660345435
24010,0.1452682912
24011,0.1400959045
24012,0.1528250277
24013,0.162142992
24014,0.139652431
24015,0.1861267239
24016,0.2827566266
24017,0.2049957812
24018,0.1503981203
24019,0.1830382347
24020,0.1355197132
24021,0.1467220634
24022,0.2276820689
24023,0.2386072874
24024,0.2511257231
24025,0.1757228673
24026,0.193746835
24027,0.08843248338
24028,0.121840328
24029,0.1607221663
24030,0.2001010329
24031,0.2118492723
24032,0.2364842892
24033,0.1886242628
24034,0.2432001382
24035,0.2396182716
24036,0.1820551455
24037,0.3011746407
24038,0.2637357116
24039,0.1297052354
24040,0.246268034
24041,0.2814269364
24042,0.1065573394
24043,0.2576133609
24044,0.150306344
24045,0.1771927774
24046,0.2975493968
24047,0.3219837248
24048,0.2855306864
24049,0.1997270137
24050,0.1963274777
24051,0.2347497642
24052,0.1510410309
24053,0.1857174039
24054,0.2299212515
24055,0.1823910773
24056,0.1206632107
24057,0.2734814286
24058,0.1983990371
24059,0.192643404
24060,0.2325929999
24061,0.214855209
24062,0.09598822892
24063,0.1947321743
24064,0.2520805299
24065,0.08929494023
24066,0.2627987862
24067,0.1712173522
24068,0.2798415124
24069,0.297721386
24070,0.1986234784
24071,0.2635092735
24072,0.1601424217
24073,0.3036680222
24074,0.2132597417
24075,0.1600880027
24076,0.1370061636
24077,0.1682547629
24078,0.2509981394
24079,0.1701661199
24080,0.1393955797
24081,0.190245837
24082,0.1701549888
24083,0.1070119962
24084,0.2491213232
24085,0.1992232502
24086,0.09759694338
24087,0.1838461757
24088,0.2380726933
24089,0.1792716384
24090,0.2576408982
24091,0.1537218541
24092,0.1253727525
24093,0.2458152175
24094,0.2541054785
24095,0.2776475549
24096,0.2093772888
24097,0.1796322465
24098,0.2066674232
24099,0.1805104762
24100,0.2705192864
24101,0.203945145
24102,0.1792587042
24103,0.2144383192
24104,0.2008790374
24105,0.2189172506
24106,0.1871347129
24107,0.2512832582
24108,0.1493072808
24109,0.1149523258
24110,0.1881072819
24111,0.1694219708
24112,0.1913263202
24113,0.1656822264
24114,0.2008821368
24115,0.1450794041
24116,0.2372888625
24117,0.1557025909
24118,0.2327913791
24119,0.2718767226
24120,0.2110459954
24121,0.08324093372
24122,0.2192901373
24123,0.134596467
24124,0.1446423978
24125,0.2849832177
24126,0.2479104102
24127,0.1863244027
24128,0.1686956286
24129,0.2370025814
24130,0.1923875511
24131,0.3108744323
24132,0.213493228
24133,0.1124397963
24134,0.1535295397
24135,0.146910578
24136,0.1191370338
24137,0.1537686437
24138,0.1982429177
24139,0.2665570974
24140,0.1787450016
24141,0.1943395585
24142,0.2127396762
24143,0.2932024002
24144,0.2175737917
24145,0.1948402375
24146,0.2760643959
24147,0.141440317
24148,0.1288225204
24149,0.1700650603
24150,0.2553289533
24151,0.2323338538
24152,0.2712713182
24153,0.1960227787
24154,0.1908444315
24155,0.2036408484
24156,0.141868189
24157,0.1200470254
24158,0.2029480189
24159,0.2545297444
24160,0.2041466534
24161,0.2936636209
24162,0.2169358283
24163,0.2710196674
24164,0.2603356838
24165,0.2576451898
24166,0.2222163677
24167,0.2693398297
24168,0.1963681281
24169,0.168929562
24170,0.2086240798
24171,0.2101519406
24172,0.2431647629
24173,0.2493963242
24174,0.2434711754
24175,0.2363675088
24176,0.2289061844
24177,0.1684563756
24178,0.1460461766
24179,0.2240577042
24180,0.2017841041
24181,0.1955247223
24182,0.2776547074
24183,0.1427457333
24184,0.1811439991
24185,0.1796269417
24186,0.3065383136
24187,0.2314917445
24188,0.1677795053
24189,0.1888480783
24190,0.2225926667
24191,0.2615609467
24192,0.196772784
24193,0.2778812051
24194,0.2499343455
24195,0.2075164467
24196,0.2515124679
24197,0.2446855158
24198,0.2544607818
24199,0.2460940033
24200,0.1873811185
24201,0.3995810151
24202,0.1517434269
24203,0.1773795187
24204,0.1521510482
24205,0.287335813
24206,0.2130423635
24207,0.1592032909
24208,0.1390398443
24209,0.1429081857
24210,0.2408723533
24211,0.2441135347
24212,0.2172250897
24213,0.2651811838
24214,0.2320453227
24215,0.2784613967
24216,0.1925919205
24217,0.2702900171
24218,0.1547538191
24219,0.1583367288
24220,0.1684078872
24221,0.1454432607
24222,0.2429674119
24223,0.1912920773
24224,0.2264741361
24225,0.1854550689
24226,0.1965743601
24227,0.2184937894
24228,0.2294308394
24229,0.143095389
24230,0.2080916911
24231,0.2031901777
24232,0.1293651164
24233,0.2634673715
24234,0.2207219005
24235,0.1939401627
24236,0.2373814285
24237,0.2211536467
24238,0.1871893406
24239,0.145241797
24240,0.1237464473
24241,0.1748270243
24242,0.2305233777
24243,0.2007564008
24244,0.07123506069
24245,0.2003908157
24246,0.1296756566
24247,0.2265478224
24248,0.2342562377
24249,0.1469564736
24250,0.140807122
24251,0.09571991861
24252,0.1868309826
24253,0.2997885346
24254,0.2254897058
24255,0.09453444183
24256,0.2143584639
24257,0.2237529457
24258,0.1552191526
24259,0.1413054615
24260,0.2328171581
24261,0.2631558478
24262,0.2000729889
24263,0.272393465
24264,0.1708739847
24265,0.161365211
24266,0.1826349199
24267,0.2866104245
24268,0.2405801117
24269,0.2162126601
24270,0.1300642788
24271,0.1326751113
24272,0.1159150749
24273,0.2815164328
24274,0.2090468556
24275,0.1647756249
24276,0.2400350571
24277,0.261426121
24278,0.2584385872
24279,0.2586096823
24280,0.2642357945
24281,0.1357028782
24282,0.1563320607
24283,0.2106977552
24284,0.1764562577
24285,0.1359691024
24286,0.2591410279
24287,0.1483906358
24288,0.2289915085
24289,0.3062053919
24290,0.1853289306
24291,0.2220921218
24292,0.1048323289
24293,0.1184926182
24294,0.2040758431
24295,0.1451602727
24296,0.1286623776
24297,0.1619178951
24298,0.1753820181
24299,0.2474345416
24300,0.2580706775
24301,0.1706414223
24302,0.1657901406
24303,0.1733174622
24304,0.1564476192
24305,0.1914785951
24306,0.1270181835
24307,0.1787685603
24308,0.1623063982
24309,0.1767912954
24310,0.1631467938
24311,0.2130411267
24312,0.2369523048
24313,0.2378565967
24314,0.2083251178
24315,0.136165753
24316,0.1962996721
24317,0.1293230951
24318,0.2783035934
24319,0.2433236241
24320,0.235101074
24321,0.07577072829
24322,0.2437649071
24323,0.1050543338
24324,0.1503008604
24325,0.197159335
24326,0.2640143633
24327,0.2188607454
24328,0.2716119587
24329,0.2563380003
24330,0.1370372772
24331,0.1426115632
24332,0.2153723538
24333,0.237426132
24334,0.05951163918
24335,0.1726273596
24336,0.2494692653
24337,0.3095673621
24338,0.1197198406
24339,0.2739836574
24340,0.1670342088
24341,0.2861571312
24342,0.2765074968
24343,0.2167276442
24344,0.2368132621
24345,0.1036974639
24346,0.1904953867
24347,0.1762419194
24348,0.2583451867
24349,0.2953722477
24350,0.2324983478
24351,0.2617980242
24352,0.1738403887
24353,0.2147377431
24354,0.1966406554
24355,0.1379350275
24356,0.2086461782
24357,0.2007603049
24358,0.1947048008
24359,0.2760862708
24360,0.2407703698
24361,0.2441864759
24362,0.2627404928
24363,0.1886951923
24364,0.2733929753
24365,0.19797194
24366,0.1869062185
24367,0.1699621081
24368,0.1883670986
24369,0.2214884609
24370,0.1990159601
24371,0.2449597418
24372,0.2276339829
24373,0.1544275284
24374,0.1501815319
24375,0.231064707
24376,0.1922312677
24377,0.2535796165
24378,0.1651272476
24379,0.1644742191
24380,0.1953293681
24381,0.2458532155
24382,0.2211197913
24383,0.2824334502
24384,0.3078035116
24385,0.1424930096
24386,0.1644437015
24387,0.216465205
24388,0.2263578176
24389,0.2908746004
24390,0.1460339427
24391,0.1620346308
24392,0.2300729156
24393,0.2905584872
24394,0.1646447182
24395,0.1816190481
24396,0.2596274018
24397,0.1549875587
24398,0.1255275607
24399,0.1295771301
24400,0.1875340194
24401,0.2603817284
24402,0.1547967643
24403,0.1530616134
24404,0.2469218522
24405,0.20923388
24406,0.2207715809
24407,0.1298587024
24408,0.1774493456
24409,0.1757953763
24410,0.2561409175
24411,0.1033990234
24412,0.2653762698
24413,0.2238398641
24414,0.1944170743
24415,0.1252128631
24416,0.3323884606
24417,0.2423941344
24418,0.1746385992
24419,0.2554009855
24420,0.1988652349
24421,0.2741198838
24422,0.08632898331
24423,0.2333705723
24424,0.1346267462
24425,0.1640593708
24426,0.2704950571
24427,0.2094138861
