step,value
24001,0.263205111
24002,0.2120485157
24003,0.147095263
24004,0.1142725199
24005,0.2861130834
24006,0.2338511497
24007,0.1399134398
24008,0.1116768867
24009,0.2081633508
24010,0.2304670811
24011,0.0997691527
24012,0.1016833484
24013,0.09986667335
24014,0.1927638352
24015,0.2843147814
24016,0.2225536108
24017,0.2410882711
24018,0.2046959847
24019,0.2244715989
24020,0.1922786236
24021,0.1407719254
24022,0.2414320111
24023,0.3028630614
24024,0.1948395669
24025,0.2173525244
24026,0.2890226543
24027,0.09596957266
24028,0.08981245756
24029,0.1187068373
24030,0.1939671785
24031,0.2955756485
24032,0.2444731593
24033,0.1945791543
24034,0.194422245
24035,0.1227005944
24036,0.1873368174
24037,0.291089654
24038,0.2340041995
24039,0.1122980714
24040,0.2617810369
24041,0.229561314
24042,0.1072781235
24043,0.2850565314
24044,0.1256694496
24045,0.153028056
24046,0.2708447576
24047,0.3002782166
24048,0.2827286124
24049,0.3244934082
24050,0.2250261307
24051,0.1764725298
24052,0.1945408583
24053,0.1977637857
24054,0.3066949546
24055,0.2249343395
24056,0.1320649683
24057,0.2413087338
24058,0.1990361661
24059,0.1973977983
24060,0.2437471747
24061,0.2062723637
24062,0.1054568291
24063,0.2474345565
24064,0.1669321805
24065,0.1147329062
24066,0.1995064616
24067,0.2209757417
24068,0.2547550201
24069,0.2753255367
24070,0.2287043035
24071,0.2327478826
24072,0.1976244599
24073,0.2697395682
24074,0.1283523142
24075,0.1278846711
24076,0.1829554588
24077,0.1647298336
24078,0.2649070024
24079,0.182251662
24080,0.1772788167
24081,0.2146869004
24082,0.2401339412
24083,0.08461081982
24084,0.1470121145
24085,0.1592022926
24086,0.08459871262
24087,0.1929215491
24088,0.2804903984
24089,0.1856113374
24090,0.2095021755
24091,0.2514494061
24092,0.1282910258
24093,0.2753852606
24094,0.2560158372
24095,0.2648544312
24096,0.2316173911
24097,0.1910521239
24098,0.09953565896
24099,0.2241042554
24100,0.1956497729
24101,0.1842801124
24102,0.2892151177
24103,0.1271487921
24104,0.2737134397
24105,0.1775048524
24106,0.1621452272
24107,0.1771449447
24108,0.1956173629
24109,0.1047209725
24110,0.1896043122
24111,0.1836953312
24112,0.2551108301
24113,0.2504625022
24114,0.1257319152
24115,0.2060900331
24116,0.2747775912
24117,0.1784042418
24118,0.260387063
24119,0.2298776954
24120,0.2618455589
24121,0.1190214008
24122,0.2096193135
24123,0.207752049
24124,0.2202773094
24125,0.2828046679
24126,0.1632849127
24127,0.2893452346
24128,0.2210178971
24129,0.1698737442
24130,0.1981565952
24131,0.3319717646
24132,0.1273708642
24133,0.1715146452
24134,0.1460148543
24135,0.1255001724
24136,0.1381425858
24137,0.164775461
24138,0.1714161485
24139,0.2138183117
24140,0.1505104452
24141,0.2423997521
24142,0.2544780076
24143,0.2947663367
24144,0.2016021609
24145,0.3201354146
24146,0.3099918962
24147,0.1762379259
24148,0.18335706
24149,0.2602903843
24150,0.1556430161
24151,0.2016325891
24152,0.2049687207
24153,0.2811557949
24154,0.1827632487
24155,0.2102639824
24156,0.1438687891
24157,0.1853156239
24158,0.1911965311
24159,0.1972424537
24160,0.1983993948
24161,0.2714193165
24162,0.1419199109
24163,0.3251813948
24164,0.3296569288
24165,0.1849058568
24166,0.1905063242
24167,0.2720428705
24168,0.08939322829
24169,0.1170705855
24170,0.1938470006
24171,0.1171946898
24172,0.1725690067
24173,0.2630216777
24174,0.3177883625
24175,0.1867965758
24176,0.1711946726
24177,0.1459473968
24178,0.1966158748
24179,0.1138842255
24180,0.1258305609
24181,0.08835794032
24182,0.2802287936
24183,0.1649772227
24184,0.263659358
24185,0.1124341786
24186,0.2845385075
24187,0.1443677694
24188,0.2327390015
24189,0.1607113183
24190,0.2320049405
24191,0.2501247525
24192,0.1736388355
24193,0.2558342218
24194,0.2660897374
24195,0.1695026755
24196,0.1737854481
24197,0.2733952999
24198,0.2738311887
24199,0.2303593159
24200,0.2088412493
24201,0.2703047693
24202,0.2133014053
24203,0.2858897746
24204,0.2050133944
24205,0.2275280952
24206,0.3359472454
24207,0.2259810269
24208,0.1937129349
24209,0.2302912176
24210,0.2475320697
24211,0.2030519992
24212,0.1733976305
24213,0.2182438821
24214,0.2222617269
24215,0.2665331364
24216,0.2453636825
24217,0.2418832779
24218,0.1560872495
24219,0.2261109352
24220,0.08709008247
24221,0.2358666062
24222,0.2766620815
24223,0.3253862858
24224,0.1449792981
24225,0.2809522748
24226,0.2233414054
24227,0.2357490957
24228,0.160983175
24229,0.2327118218
24230,0.1450707316
24231,0.114696756
24232,0.1240819693
