step,value
24001,0.07363252342
24002,0.2383603901
24003,0.1519501805
24004,0.1305237859
24005,0.2555328012
24006,0.07524654269
24007,0.3382774889
24008,0.1975629926
24009,0.3239057362
24010,0.06006949395
24011,0.1804226488
24012,0.2039667219
24013,0.2244192958
24014,0.08654103428
24015,0.08793865889
24016,0.3429596424
24017,0.1689032763
24018,0.09610025585
24019,0.1416048706
24020,0.0787608102
24021,0.1526722014
24022,0.2139321268
24023,0.1743515283
24024,0.3074118793
24025,0.134093225
24026,0.09847100079
24027,0.08089539409
24028,0.1538681984
24029,0.2027375102
24030,0.2062348872
24031,0.128122896
24032,0.2284954041
24033,0.1826693863
24034,0.2919780314
24035,0.3565359414
24036,0.1767734587
24037,0.3112596571
24038,0.2934672236
24039,0.1471123993
24040,0.2307550162
24041,0.3332925439
24042,0.1058365554
24043,0.2301701754
24044,0.1749432236
24045,0.2013574988
24046,0.3242540359
24047,0.3436892331
24048,0.2883327901
24049,0.07496061176
24050,0.1676288247
24051,0.2930269837
24052,0.1075412184
24053,0.1736710221
24054,0.1531475633
24055,0.1398478001
24056,0.1092614457
24057,0.3056541383
24058,0.1977619082
24059,0.1878890097
24060,0.2214388251
24061,0.2234380543
24062,0.08651962876
24063,0.1420297921
24064,0.3372288644
24065,0.06385698169
24066,0.3260911107
24067,0.1214589477
24068,0.3049280047
24069,0.3201172054
24070,0.1685426384
24071,0.2942706347
24072,0.122660391
24073,0.3375965059
24074,0.2981671691
24075,0.1922913492
24076,0.09105687588
24077,0.1717797071
24078,0.2370892465
24079,0.1580805779
24080,0.1015123352
24081,0.1658047587
24082,0.1001760438
24083,0.1294131726
24084,0.3512305319
24085,0.2392442077
24086,0.1105951667
24087,0.1747708023
24088,0.1956549734
24089,0.1729319543
24090,0.3057796061
24091,0.05599429086
24092,0.1224544868
24093,0.2162451595
24094,0.2521951199
24095,0.2904406786
24096,0.1871371865
24097,0.1682123691
24098,0.3137992024
24099,0.136916697
24100,0.3453887999
24101,0.2236101776
24102,0.06930229813
24103,0.3017278612
24104,0.1280446202
24105,0.2603296638
24106,0.2121241838
24107,0.3254215717
24108,0.1029971987
24109,0.1251836717
24110,0.1866102666
24111,0.1551486254
24112,0.1275418103
24113,0.0809019506
24114,0.2760323584
24115,0.08406876773
24116,0.1998001188
24117,0.1330009252
24118,0.2051956952
24119,0.3138757348
24120,0.1602464318
24121,0.0474604629
24122,0.228960976
24123,0.06144088134
24124,0.06900747865
24125,0.2871617675
24126,0.3325358927
24127,0.0833035633
24128,0.1163733453
24129,0.3041314185
24130,0.1866185069
24131,0.2897771001
24132,0.2996155918
24133,0.05336495489
24134,0.1610442251
24135,0.1683209687
24136,0.1001314744
24137,0.1427618265
24138,0.2250696868
24139,0.319295913
24140,0.2069795728
24141,0.1462793648
24142,0.17100133
24143,0.2916384339
24144,0.2335454226
24145,0.0695450604
24146,0.2421368808
24147,0.1066427007
24148,0.07428798079
24149,0.07983973622
24150,0.3550148606
24151,0.2630351186
24152,0.3375739157
24153,0.1108897775
24154,0.1989256144
24155,0.1970177144
24156,0.1398675889
24157,0.05477843061
24158,0.2146995068
24159,0.31181705
24160,0.209893927
24161,0.3159078956
24162,0.2919517457
24163,0.21685794
24164,0.1910144389
24165,0.3303845227
24166,0.2539264262
24167,0.2666367888
24168,0.3033430278
24169,0.2207885385
24170,0.223401159
24171,0.3031091988
24172,0.313760519
24173,0.2357709706
24174,0.1691539884
24175,0.2859384418
24176,0.2866176963
24177,0.1909653395
24178,0.09547647834
24179,0.334231168
24180,0.2777376473
24181,0.3026914895
24182,0.2750805914
24183,0.1205142587
24184,0.09862865508
24185,0.2468196899
24186,0.3285381198
24187,0.3186157048
24188,0.1028199941
24189,0.2169848531
24190,0.213180393
24191,0.2729971409
24192,0.2199067175
24193,0.2999282181
24194,0.2337789536
24195,0.2455302179
24196,0.3292394578
24197,0.2159757316
24198,0.2350903898
24199,0.2618286908
24200,0.1659209728
24201,0.5288572907
24202,0.09018545598
24203,0.06886925548
24204,0.09928871691
24205,0.347143501
24206,0.09013747424
24207,0.09242555499
24208,0.08436674625
24209,0.05552516878
24210,0.234212622
24211,0.2851750851
24212,0.2610525489
24213,0.3121184707
24214,0.2418289334
24215,0.2903896272
24216,0.1398201585
24217,0.2986967862
24218,0.1534203887
24219,0.09056253731
24220,0.2497256994
24221,0.05501993001
24222,0.2092727423
24223,0.05719785765
24224,0.3079689741
24225,0.08995786309
24226,0.1698073149
24227,0.2012384683
24228,0.2978785038
24229,0.0534789674
24230,0.2711126506
24231,0.2916836143
24232,0.1346482635
24233,0.2963039577
24234,0.2553610504
24235,0.108873412
24236,0.3366518021
24237,0.2315140814
24238,0.2764094472
24239,0.09775855392
24240,0.1582210213
24241,0.2438324243
24242,0.169536218
24243,0.1296734661
24244,0.06421036273
24245,0.2293386012
24246,0.1213708073
24247,0.2751598954
24248,0.1873947531
24249,0.1133217663
24250,0.1130069643
24251,0.09743753821
24252,0.2698543072
24253,0.3235808313
24254,0.1504921168
24255,0.1284576058
24256,0.2578691244
24257,0.153118223
24258,0.05773701891
24259,0.05908319727
24260,0.2618771493
24261,0.2871122956
24262,0.1108999252
24263,0.2284205556
24264,0.09115315229
24265,0.1099792272
24266,0.1667547822
24267,0.3475618958
24268,0.2708499134
24269,0.2538973689
24270,0.07140219212
24271,0.05050029978
24272,0.1173572019
24273,0.3179895878
24274,0.2173053622
24275,0.1609533429
24276,0.1806005985
24277,0.2819111049
24278,0.2902721465
24279,0.216043219
24280,0.284766674
24281,0.1727428287
24282,0.1445153952
24283,0.1727095097
24284,0.05594786629
24285,0.07366032898
24286,0.2793330252
24287,0.1238632277
24288,0.3509160876
24289,0.3399906754
24290,0.1749694347
24291,0.217538476
24292,0.05855094269
24293,0.09719529003
24294,0.1724280268
24295,0.1692892313
24296,0.05519222841
24297,0.225655973
24298,0.06121640652
24299,0.2068999708
24300,0.2519729137
24301,0.1454028189
24302,0.1368649751
24303,0.1746585071
24304,0.09611625224
24305,0.2341176271
24306,0.1257047057
24307,0.2142561376
24308,0.08341114968
24309,0.1211386845
24310,0.1965793073
24311,0.2444577068
24312,0.2559034526
24313,0.2704441547
24314,0.162360087
24315,0.1177543104
24316,0.2699838877
24317,0.1328757256
24318,0.3352481723
24319,0.2914548218
24320,0.3234248459
24321,0.06573130935
24322,0.3367812634
24323,0.101300776
24324,0.134684667
24325,0.07369986176
24326,0.3002025187
24327,0.1563394666
24328,0.2997829616
24329,0.3163861334
24330,0.0694783479
24331,0.1440102905
24332,0.2284149826
24333,0.197411418
24334,0.05518537387
24335,0.1118053198
24336,0.2195953131
24337,0.3081977069
24338,0.06966263056
24339,0.2241794467
24340,0.07837660611
24341,0.3437337875
24342,0.3261293769
24343,0.1276202351
24344,0.343624711
24345,0.06078919396
24346,0.1046780944
24347,0.09570837021
24348,0.2596867681
24349,0.32349208
24350,0.2187941968
24351,0.2962539792
24352,0.1428816766
24353,0.2072502226
24354,0.1172739267
24355,0.1004242226
24356,0.1945759505
24357,0.208036691
24358,0.1606082767
24359,0.3512387872
24360,0.2090212256
24361,0.2999556661
24362,0.3116790354
24363,0.1673958451
24364,0.3326635659
24365,0.3158414364
24366,0.1892144829
24367,0.1257757545
24368,0.1602503955
24369,0.2570511699
24370,0.2331542075
24371,0.224394843
24372,0.162349984
24373,0.0610502325
24374,0.1272708029
24375,0.2170882672
24376,0.1410088092
24377,0.3194850683
24378,0.1709271371
24379,0.09922491014
24380,0.1010574177
24381,0.3343803287
24382,0.2962760925
24383,0.2404350489
24384,0.3406407535
24385,0.07513402402
24386,0.1614094377
24387,0.2616232634
24388,0.2020852417
24389,0.3031286299
24390,0.08194082975
24391,0.1603671908
24392,0.2803348899
24393,0.3308663964
24394,0.1291118264
24395,0.1556852162
24396,0.3210044205
24397,0.08337738365
24398,0.08596031368
24399,0.1001578718
24400,0.2455457896
24401,0.3046262264
24402,0.1559881121
24403,0.06791082025
24404,0.2995477319
24405,0.1724815965
24406,0.31066522
24407,0.07348107547
24408,0.138475284
24409,0.164455086
24410,0.2505669594
24411,0.07282182574
24412,0.3178420663
24413,0.2111861408
24414,0.2285370678
24415,0.07890176773
24416,0.3452315927
24417,0.1796045601
24418,0.1743654013
24419,0.292653054
24420,0.1964077801
24421,0.3264047503
24422,0.07911431044
24423,0.2685128152
24424,0.154019013
24425,0.09426358342
24426,0.2112900168
24427,0.3249929547
24428,0.2436846197
24429,0.1772616208
24430,0.1699843854
24431,0.1513421685
24432,0.1805875003
24433,0.3292631507
24434,0.2565425336
24435,0.1180689931
24436,0.2917021513
24437,0.112540774
24438,0.2801897228
