step,value
24001,1.269964337
24002,1.24551034
24003,1.26091373
24004,1.249663591
24005,1.307446837
24006,1.304905057
24007,1.313160658
24008,1.363031268
24009,1.354938984
24010,1.424950242
24011,1.403279781
24012,1.30439806
24013,1.418438077
24014,1.529320121
24015,1.504620075
24016,1.502526045
24017,1.460456848
24018,1.500403643
24019,1.437862158
24020,1.374683619
24021,1.51642251
24022,1.353410721
24023,1.451699853
24024,1.518301249
24025,1.57655549
24026,1.446159482
24027,1.535076022
24028,1.364998221
24029,1.305092812
24030,1.277018905
24031,1.408427477
24032,1.227484465
24033,1.193859696
24034,1.127912641
24035,1.356472135
24036,1.576624274
24037,1.648029327
24038,1.51897347
24039,1.443102121
24040,1.515447617
24041,1.374990582
24042,1.259136796
24043,1.247790098
24044,1.211883307
24045,1.172041774
24046,1.206735611
24047,1.071947813
24048,1.067112088
24049,1.094347239
24050,0.9213828444
24051,0.8565089703
24052,0.9624156952
24053,1.161244273
24054,1.134955168
24055,1.239572167
24056,1.255062819
24057,1.250169277
24058,1.265217185
24059,1.427555323
24060,1.449548721
24061,1.47709775
24062,1.485467434
24063,1.5090909
24064,1.43015337
24065,1.585722685
24066,1.613357782
24067,1.708780169
24068,1.744886994
24069,1.615396261
24070,1.600895286
24071,1.612172842
24072,1.59847331
24073,1.666952729
24074,1.60453701
24075,1.666182995
24076,1.60527873
24077,1.644434452
24078,1.598290086
24079,1.543672442
24080,1.56458497
24081,1.604345798
24082,1.502749085
24083,1.475028515
24084,1.492760897
24085,1.476981521
24086,1.496967673
24087,1.52592814
24088,1.539702058
24089,1.471228123
24090,1.543460011
24091,1.443562627
24092,1.425337076
24093,1.501003742
24094,1.500074983
24095,1.500951409
24096,1.296507716
24097,1.415517926
24098,1.429460526
24099,1.489187479
24100,1.545637727
24101,1.609059572
24102,1.561894298
24103,1.54879427
24104,1.598661423
24105,1.566137552
24106,1.568102241
24107,1.593797565
24108,1.746809483
24109,1.604387283
24110,1.546889663
24111,1.520395279
24112,1.600982547
24113,1.491226196
24114,1.463724256
24115,1.569462895
24116,1.571989775
24117,1.463062286
24118,1.535668731
24119,1.417456269
24120,1.429492593
24121,1.513062119
24122,1.453449011
24123,1.331351876
24124,1.494637847
24125,1.359532118
24126,1.34896636
24127,1.466721058
24128,1.341689348
24129,1.331610799
24130,1.451786876
24131,1.461677074
24132,1.396192193
24133,1.385722041
24134,1.454691768
24135,1.432812452
24136,1.399639487
24137,1.512617946
24138,1.555102944
24139,1.548701763
24140,1.507251859
24141,1.445497632
24142,1.491653204
24143,1.449623108
24144,1.363737822
24145,1.43955636
24146,1.401907325
24147,1.40301156
24148,1.389745235
24149,1.409899831
24150,1.393748641
24151,1.538855076
24152,1.575663686
24153,1.512503266
24154,1.51774013
24155,1.488940597
24156,1.512340903
24157,1.48377347
24158,1.483211756
24159,1.50399518
24160,1.558053732
24161,1.52693975
24162,1.533828139
24163,1.540255666
24164,1.697129965
24165,1.618574262
24166,1.596992254
24167,1.595263004
24168,1.546188593
24169,1.551340103
24170,1.554739594
24171,1.508551598
24172,1.671250343
24173,1.661373377
24174,1.574262977
24175,1.512210727
24176,1.489622474
24177,1.536949039
24178,1.645592332
24179,1.591839552
24180,1.577468634
24181,1.621758819
24182,1.640833855
24183,1.75507021
24184,1.685871959
24185,1.559731722
24186,1.464451432
24187,1.424780488
24188,1.484480262
24189,1.436172724
24190,1.442510247
24191,1.463578463
24192,1.507368445
24193,1.521157265
24194,1.464381218
24195,1.462703705
24196,1.463213921
24197,1.532351971
24198,1.440385342
24199,1.469086766
24200,1.508751035
24201,1.525874853
24202,1.558721066
24203,1.471972704
24204,1.330180764
24205,1.193062544
24206,1.215274453
