step,value
24001,1.258927584
24002,1.224425316
24003,1.244287372
24004,1.241254449
24005,1.303938031
24006,1.288729429
24007,1.290368199
24008,1.335168004
24009,1.347764015
24010,1.428139448
24011,1.381267309
24012,1.301419616
24013,1.415749788
24014,1.526117206
24015,1.504794717
24016,1.497185111
24017,1.46620667
24018,1.479334474
24019,1.42720294
24020,1.368815303
24021,1.500780344
24022,1.357236147
24023,1.446482182
24024,1.501772404
24025,1.55962801
24026,1.443391442
24027,1.5261724
24028,1.356193423
24029,1.299961209
24030,1.254104853
24031,1.403117299
24032,1.240944624
24033,1.181233644
24034,1.120040059
24035,1.338839531
24036,1.569891453
24037,1.626557946
24038,1.49238503
24039,1.410117745
24040,1.512397289
24041,1.364245176
24042,1.242490768
24043,1.233534575
24044,1.190646768
24045,1.121675134
24046,1.184729338
24047,1.044157386
24048,1.047493219
24049,1.080625057
24050,0.8835366964
24051,0.8427789807
24052,0.9496395588
24053,1.152596712
24054,1.138269067
24055,1.223803997
24056,1.23744905
24057,1.244075418
24058,1.265006185
24059,1.418341517
24060,1.442930222
24061,1.483967423
24062,1.444716334
24063,1.491606593
24064,1.425024271
24065,1.580987573
24066,1.609722733
24067,1.699328423
24068,1.739619732
24069,1.611585021
24070,1.591044903
24071,1.59944272
24072,1.583550334
24073,1.655646443
24074,1.603915334
24075,1.662811637
24076,1.611934543
24077,1.629483819
24078,1.581197858
24079,1.525030851
24080,1.550096154
24081,1.59074831
24082,1.491869926
24083,1.455694675
24084,1.472430706
24085,1.46248889
24086,1.496464968
24087,1.524991393
24088,1.529983521
24089,1.461953402
24090,1.525264502
24091,1.423433185
24092,1.456232548
24093,1.502080321
24094,1.487714291
24095,1.474177837
24096,1.320085526
24097,1.392477512
24098,1.404458642
24099,1.484795094
24100,1.526306987
24101,1.590154171
24102,1.546385765
24103,1.531822801
24104,1.582794785
24105,1.544016957
24106,1.552729607
24107,1.584086418
24108,1.728883624
24109,1.609424591
24110,1.536469579
24111,1.501275659
24112,1.585235715
24113,1.48943162
24114,1.466247678
24115,1.554362416
24116,1.559701204
24117,1.454880714
24118,1.522486687
24119,1.414500356
24120,1.428436756
24121,1.487097859
24122,1.441023111
24123,1.321835995
24124,1.464200497
24125,1.344300628
24126,1.330284476
24127,1.437341809
24128,1.336862087
24129,1.320552826
24130,1.454491496
24131,1.435245395
24132,1.378701925
24133,1.373654842
24134,1.455420256
24135,1.415366173
24136,1.384970784
24137,1.518485427
24138,1.555992007
24139,1.5454669
