step,value
24001,0.3112177849
24002,0.357345432
24003,0.488848269
24004,0.7431561947
24005,0.1682997793
24006,0.2857002318
24007,0.3203198016
24008,0.5294775963
24009,0.1852268428
24010,0.1528246999
24011,0.3389143944
24012,0.1209982112
24013,0.2671494484
24014,0.2115805149
24015,0.3471955955
24016,0.2761517167
24017,0.5669757128
24018,0.364117682
24019,0.2241220623
24020,0.3269529343
24021,0.3477229774
24022,0.2195444852
24023,0.2542378902
24024,0.2207813561
24025,0.4532176852
24026,0.08064304292
24027,0.618578136
24028,0.2587761581
24029,0.3526719213
24030,0.3301467597
24031,0.4340370893
24032,0.3317066431
24033,0.6124567389
24034,0.1910751164
24035,0.2515598238
24036,0.2524333596
24037,0.281757623
24038,0.189286232
24039,0.1887935847
24040,0.3505884111
24041,0.6199018359
24042,0.6072539091
24043,0.2056025416
24044,0.2978202105
24045,0.398837775
24046,0.4913134277
24047,0.3003845811
24048,0.243318513
24049,0.4395313561
24050,0.4527902901
24051,0.1765304208
24052,0.4054553211
24053,0.4059189856
24054,0.4468441606
24055,0.7234920263
24056,0.4058353901
24057,0.1780155003
24058,0.2725502551
24059,0.2620882094
24060,0.2339370251
24061,0.4015967846
24062,0.2360242903
24063,0.4184553623
24064,0.2659401596
24065,0.3809523582
24066,0.2693258822
24067,0.1668366343
24068,0.2737350464
24069,0.4008993506
24070,0.2620100975
24071,0.2264425009
24072,0.3047941625
24073,0.2312108725
24074,0.2240967602
24075,0.2953271568
24076,0.1363523602
24077,0.2547241151
24078,0.4016019106
24079,0.3979404271
24080,0.2837245166
24081,0.2602751851
24082,0.2631387413
24083,0.2999610901
24084,0.27101174
24085,0.4571705759
24086,0.2109986991
24087,0.3112174869
24088,0.3127453327
24089,0.251442641
24090,0.3382661641
24091,0.6478639245
24092,0.8358827233
24093,0.4058580399
24094,0.3530431092
24095,0.4357946813
24096,0.2786738873
24097,0.3965425789
24098,0.4059105217
24099,0.1691429466
24100,0.5246675014
24101,0.3392360508
24102,0.1919736117
24103,0.6272341609
24104,0.1988366544
24105,0.2148937732
24106,0.2029758394
24107,0.4040486813
24108,0.4824604988
24109,0.6099920273
24110,0.2082409114
24111,0.2505492866
24112,0.287450999
24113,0.2110747546
24114,0.3241104782
24115,0.2838567793
24116,0.6323973536
24117,0.3212431967
24118,0.3459150195
24119,0.3649781644
24120,0.2536142468
24121,0.1901793629
24122,0.2124458849
24123,0.3407112956
24124,0.4057717025
24125,0.2191605866
24126,0.2712810338
24127,0.7914037704
24128,0.2031800896
24129,0.3979410231
24130,0.3642766774
24131,0.3713779747
24132,0.429381758
24133,0.4941010773
24134,0.4445106387
24135,0.2677685618
24136,0.4267988503
24137,0.5241380334
24138,0.3573780358
24139,0.7090888619
24140,0.6683855057
24141,0.6445127726
24142,0.71555233
24143,0.3264783919
24144,0.2887371778
24145,0.3460147679
24146,0.5643621683
24147,0.236201033
24148,0.1597017199
24149,0.3107593656
24150,0.2524798214
24151,0.348826915
24152,0.4619622827
24153,0.3279055059
24154,0.627335906
24155,0.2413650006
24156,0.4030778408
24157,0.2006593049
24158,0.3574150503
24159,0.2949377894
24160,0.3566267192
24161,0.4557684958
24162,0.407841444
24163,0.278214097
24164,0.4723867178
24165,0.4346358478
24166,0.3374365568
24167,0.1738505065
24168,0.3499981165
24169,0.344517678
24170,0.4751287103
24171,0.2285540402
24172,0.3746649027
24173,0.2573119402
24174,0.3819120824
24175,0.7242605686
24176,0.2868988216
24177,0.2169248611
24178,0.2223376483
24179,0.2544044852
24180,0.3469592631
24181,0.2357804477
24182,0.2455921918
24183,0.2357492149
24184,0.2007297277
24185,0.323676616
24186,0.1863016635
24187,0.231727615
24188,0.3226753473
24189,0.2189115733
24190,0.3492580056
24191,0.2145307958
24192,0.2166254818
24193,0.3522285223
24194,0.4354932606
24195,0.4463425875
24196,0.1643033028
24197,0.388115406
24198,0.430785358
24199,0.1934843212
24200,0.3503344059
24201,0.3132768273
24202,0.2868570983
24203,0.5235922337
24204,0.4645043612
24205,0.2927753031
24206,0.25057441
24207,0.2726048529
24208,0.366753161
24209,0.4057225585
24210,0.3232903481
24211,0.3009943068
24212,0.2961731255
24213,0.2472128421
24214,0.3531912267
24215,0.3122013211
24216,0.3278864026
24217,0.3032562435
24218,0.1727843881
24219,0.4458850622
24220,0.2234655768
24221,0.2882444859
24222,0.3173615634
24223,0.2783679664
24224,0.216225177
24225,0.1925340742
24226,0.1722384989
24227,0.2011674792
24228,0.3052920699
24229,0.2573895156
24230,0.2929950356
24231,0.4392655492
24232,0.126056388
24233,0.3008923531
24234,0.3507317007
24235,0.5731475949
24236,0.3900944591
24237,0.2342351079
24238,0.1583027244
24239,0.1586692631
24240,0.4403078854
24241,0.5208884478
24242,0.2935100198
24243,0.210271731
24244,0.3636058867
24245,0.1894872487
24246,0.199395597
24247,0.3011053503
24248,0.1818496734
24249,0.6469560266
24250,0.531922102
24251,0.2495888025
24252,0.4641110301
24253,0.6102629304
24254,0.4723052084
24255,0.3597298265
24256,0.2850492597
24257,0.3649059534
24258,0.3042100072
24259,0.3520261943
24260,0.1759271622
24261,0.5203214884
24262,0.4652577043
24263,0.4706913233
24264,0.614005208
24265,0.2450242341
24266,0.3339310586
24267,0.2859432697
24268,0.3975045681
24269,0.3878188133
24270,0.4580725431
24271,0.2225651741
24272,0.481225282
24273,0.4645681083
24274,0.2026714534
24275,0.3461613655
24276,0.1953543723
24277,0.1316605955
24278,0.3553783596
24279,0.2757650614
24280,0.2259163857
24281,0.5870401263
24282,0.1304787546
24283,0.7409555912
24284,0.5293678045
24285,0.2403291464
24286,0.3702674508
24287,0.2786364853
24288,0.4291318357
24289,0.2618359327
24290,0.2430322021
24291,0.7589296103
24292,0.1831929684
24293,0.4495846331
24294,0.3975165784
24295,0.2396329343
24296,0.1010211557
24297,0.3511340022
24298,0.2044935226
24299,0.6641656756
24300,0.3303799629
24301,0.3835093379
24302,0.371196568
24303,0.4445002973
24304,0.482216835
24305,0.2917621136
24306,0.4645866156
24307,0.7489219308
24308,0.3880665302
24309,0.2815321982
24310,0.408385098
24311,0.2679624856
24312,0.2468242645
24313,0.11451637
24314,0.4331256449
24315,0.2430826575
24316,0.2891813517
24317,0.3917968273
24318,0.7166981101
24319,0.5112529993
24320,0.3727546334
24321,0.372104615
24322,0.277641952
24323,0.257406652
24324,0.1530871093
24325,0.6787585616
24326,0.4187758267
24327,0.5202083588
24328,0.3629229963
24329,0.2419660687
24330,0.2497100979
24331,0.5901190639
24332,0.2977054119
24333,0.3900257945
24334,0.6252480745
24335,0.3447948992
24336,0.1977041513
24337,0.5637415051
24338,0.1376536638
24339,0.35141626
24340,0.4493085146
24341,0.2820862532
24342,0.2703765631
24343,0.3241181076
24344,0.2612047195
24345,0.3197777867
24346,0.223668009
24347,0.2724497914
24348,0.2989007235
24349,0.5306658745
24350,0.3394733667
24351,0.2270171493
24352,0.6028744578
