step,value
24001,0.6657463908
24002,0.5092800856
24003,0.6201424599
24004,0.9268767834
24005,0.3477840722
24006,0.4763255715
24007,0.4286119044
24008,0.7430920005
24009,0.3160342276
24010,0.3506751359
24011,0.4836817384
24012,0.2627517879
24013,0.4159224033
24014,0.3800046444
24015,0.5343891382
24016,0.3977749944
24017,0.7350866795
24018,0.5433624387
24019,0.361551553
24020,0.5429314971
24021,0.5313228965
24022,0.5116516352
24023,0.4321700633
24024,0.3466286957
24025,0.6476230025
24026,0.25208202
24027,0.8149166107
24028,0.4130676687
24029,0.4959963858
24030,0.6544862986
24031,0.6070292592
24032,0.5141113997
24033,0.7719317079
24034,0.3538042903
24035,0.4035147727
24036,0.3311201334
24037,0.4660283327
24038,0.3266643882
24039,0.3375872076
24040,0.5872334838
24041,0.7842946053
24042,0.7916005254
24043,0.3586423993
24044,0.4506972432
24045,0.5870651603
24046,0.6724271178
24047,0.4834660292
24048,0.4285785854
24049,0.7429324985
24050,0.6144301891
24051,0.3587214947
24052,0.6040195823
24053,0.5673456788
24054,0.6902478337
24055,0.8967839479
24056,0.569770515
24057,0.2967998087
24058,0.4719496965
24059,0.3828551173
24060,0.3796328306
24061,0.5733337402
24062,0.4800743163
24063,0.6145846844
24064,0.4429075122
24065,0.5172131658
24066,0.4727155566
24067,0.3155060709
24068,0.4197428524
24069,0.5774005055
24070,0.3833120465
24071,0.4104007483
24072,0.4678781033
24073,0.388097614
24074,0.4753220379
24075,0.4161754847
24076,0.29381603
24077,0.369538784
24078,0.6602549553
24079,0.5627397895
24080,0.4463340938
24081,0.4480264485
24082,0.5004706383
24083,0.4592813551
24084,0.4656008184
24085,0.6601338983
24086,0.3243490756
24087,0.5427898169
24088,0.4646461308
24089,0.3963789046
24090,0.6106626987
24091,0.7868977785
24092,1.098955989
24093,0.5918810964
24094,0.522300899
24095,0.5922307968
24096,0.4518606067
24097,0.5180232525
24098,0.6095649004
24099,0.3565126061
24100,0.7043183446
24101,0.471167326
24102,0.3178190887
24103,0.7945836782
24104,0.3993146718
24105,0.3823219538
24106,0.3641157448
24107,0.4986441433
24108,0.6296127439
24109,0.7593464851
24110,0.4003407061
24111,0.3766978383
24112,0.483671546
24113,0.4219430983
24114,0.4571735859
24115,0.425639838
24116,0.8113286495
24117,0.47821787
24118,0.5233615637
24119,0.5211781263
24120,0.3349514306
24121,0.3501990736
24122,0.4376413524
24123,0.5409661531
24124,0.586279273
24125,0.377555877
24126,0.3763794005
24127,1.240048647
24128,0.3321691155
24129,0.5668492317
24130,0.5375036001
24131,0.5568028092
24132,0.5815976858
24133,0.7067662477
24134,0.7067382932
24135,0.4816651046
24136,0.6242228746
24137,0.7541188598
24138,0.5249072313
24139,0.9269262552
24140,0.8740507364
24141,0.8278331161
24142,0.9611856341
24143,0.5167685747
24144,0.4030635357
24145,0.5514836907
24146,0.7087311745
24147,0.4213599861
24148,0.2843920588
24149,0.4189965129
24150,0.3868134618
24151,0.5306292176
24152,0.6073350906
24153,0.5057008862
24154,0.8264974356
24155,0.3746719956
24156,0.5244830251
24157,0.3245088756
24158,0.5434777737
24159,0.4131563604
24160,0.5346927643
24161,0.6408725381
24162,0.6077956557
24163,0.4013338089
24164,0.625795424
24165,0.6639940739
24166,0.5609464049
24167,0.3230525255
24168,0.5904778242
24169,0.4827806354
24170,0.6880809069
24171,0.3326227367
24172,0.5450261831
24173,0.3909614384
24174,0.5320878029
24175,0.8760450482
24176,0.5295359492
24177,0.3648268282
24178,0.4070442617
24179,0.4390247464
24180,0.52603966
24181,0.4073399603
24182,0.4297618866
24183,0.4232335091
24184,0.3499303162
24185,0.4919405282
24186,0.3786205947
24187,0.3339149952
24188,0.4940817952
24189,0.4398100078
24190,0.5221105814
24191,0.3651290834
24192,0.3344594538
24193,0.5876267552
24194,0.6633911133
24195,0.5760288239
24196,0.3151009977
24197,0.5138947368
24198,0.6518554688
24199,0.2970383167
24200,0.5027756095
24201,0.6379688978
24202,0.4175751209
24203,0.6941056252
24204,0.6465598345
24205,0.4721775949
24206,0.7817570567
24207,0.4782645404
24208,0.6666215658
24209,0.6520687938
24210,0.4935527444
24211,0.4802398682
24212,0.6776043773
24213,0.4081395566
24214,0.4939509332
24215,0.4775406718
24216,0.5537905097
24217,0.4736709297
24218,0.340821594
24219,0.6177383065
24220,0.3740827143
24221,0.4726940691
24222,0.4424255192
24223,0.4903301597
24224,0.4274400771
24225,0.3162116706
24226,0.3016851842
24227,0.3160999417
24228,0.4856475592
24229,0.3953659832
24230,0.4888641238
24231,0.6221066117
24232,0.2328954041
24233,0.4387425482
24234,0.4601885974
24235,0.7185598612
24236,0.6495432258
24237,0.4007073045
24238,0.2569997013
24239,0.3247612119
24240,0.586666584
24241,0.7354875207
24242,0.4445905983
24243,0.326867491
24244,0.5697782636
24245,0.3055502772
24246,0.3163074851
24247,0.4404025972
24248,0.3076846898
24249,0.905779779
24250,0.6748511195
24251,0.3965222239
24252,0.5987241864
24253,0.8315594196
24254,0.5824466944
24255,0.5666404366
24256,0.40683043
24257,0.4868242443
24258,0.430352509
24259,0.5103361011
24260,0.3145982027
24261,0.666410327
24262,0.6916432977
24263,0.657994926
24264,0.7551421523
24265,0.3679200411
24266,0.4281749129
24267,0.461243093
24268,0.5640189648
24269,0.5784347057
24270,0.5879257917
24271,0.3538870215
24272,0.721989274
24273,0.6962007284
24274,0.3570317924
24275,0.4835985005
24276,0.3476997614
24277,0.2745137513
24278,0.5076621771
24279,0.4388450086
24280,0.3441788852
24281,0.7987758517
24282,0.2400476187
24283,0.9200947881
24284,0.7135756612
24285,0.4313225448
24286,0.5095447302
24287,0.4993235469
24288,0.5821370482
24289,0.4144203365
24290,0.3797391951
24291,0.9278134704
24292,0.3069427907
24293,0.6023290753
24294,0.6025698185
24295,0.4079522491
24296,0.253559649
24297,0.4937059581
24298,0.3366137147
24299,0.8753953576
24300,0.5244181752
24301,0.509975493
24302,0.5120189786
24303,0.560882926
24304,0.6348164082
24305,0.4461219013
24306,0.6731768847
24307,0.9291892052
24308,0.578384161
24309,0.4093079269
24310,0.5696470737
24311,0.4242902398
24312,0.3860883117
24313,0.2307673842
24314,0.5745301247
24315,0.4207011759
24316,0.4497493207
24317,0.5373444557
24318,0.9126870036
24319,0.6328516006
24320,0.5720375776
24321,0.5706605315
24322,0.4378358126
24323,0.4082723856
24324,0.2892092764
24325,0.8193621039
24326,0.5979974866
24327,0.6926256418
24328,0.5184791684
24329,0.4758925736
24330,0.4423293173
24331,0.7558079958
24332,0.4200656712
24333,0.5168936849
24334,0.7847027183
24335,0.5399308801
24336,0.4218601286
24337,0.736469686
24338,0.250665307
24339,0.5459637642
24340,0.5653041601
24341,0.4167007804
24342,0.377594322
24343,0.4908339083
24344,0.4476785958
24345,0.5143253803
24346,0.4362730384
24347,0.4770870805
24348,0.4497616887
24349,0.6452823281
24350,0.4962126613
24351,0.3732857406
24352,0.8483620882
24353,0.5622316599
24354,0.6314800978
24355,0.8475868106
24356,0.380484432
24357,0.40226385
24358,0.5970028639
24359,0.5985845327
24360,0.8322482109
24361,0.7351273298
24362,0.6140143871
24363,0.457914263
24364,0.5656955242
24365,0.4013825357
24366,0.648147881
24367,0.3742965758
24368,0.6510199904
24369,0.5284073353
24370,0.749109447
24371,0.4833708405
24372,0.4339219332
24373,0.291167438
24374,0.340436697
24375,0.4206390679
24376,0.6818749309
24377,0.485573262
24378,0.3675022423
24379,0.3166633546
24380,0.4162637889
24381,0.891433537
24382,0.4581158459
24383,0.3942486048
24384,0.4361900687
24385,0.3011421859
24386,0.4151604176
24387,0.3494887948
24388,0.7492830157
24389,0.3413858712
24390,0.3485695422
24391,0.3730524182
24392,0.9109286666
24393,0.5399885774
24394,0.4636939168
24395,0.5035830736
24396,0.5107518435
24397,0.2992802858
24398,0.5120869875
24399,0.389644146
24400,0.7288184762
24401,0.4446680248
24402,0.5518351197
24403,0.4369503856
24404,0.6857697964
24405,0.4047363698
24406,0.3304356039
24407,0.6957550645
24408,0.7091524005
24409,0.9104332924
24410,0.3330972195
24411,0.4312112033
24412,0.5864441991
24413,0.3860858977
24414,0.850490272
24415,0.5397028923
24416,0.3064580262
24417,0.4057144523
24418,0.7348835468
24419,0.8858960271
24420,0.3939566612
24421,0.5821748972
24422,0.3035970628
24423,0.5265503526
24424,0.6107070446
24425,0.4172796905
24426,0.7366447449
24427,0.650157094
24428,0.438069433
24429,0.6762750745
24430,0.5325809121
24431,0.4341676533
24432,0.4428518713
24433,0.3180872798
24434,0.5458382964
24435,0.5659270287
24436,0.3462502062
24437,0.5573512316
24438,0.3277302086
24439,0.4263795614
24440,0.5831722617
24441,0.6137598753
24442,0.6687992811
24443,0.5038149357
24444,0.5315213203
24445,0.765937686
24446,0.6455082297
24447,0.53773278
24448,0.3078562319
24449,0.4298674464
24450,0.6270054579
24451,0.3552790582
24452,0.2796587646
24453,0.5050481558
24454,0.6320815682
24455,0.3950654864
24456,0.5056025386
24457,0.4247273207
24458,0.4222974479
24459,0.3317053318
24460,0.5661318302
24461,0.3920530677
24462,0.6049363613
24463,0.5194542408
24464,0.3389078081
24465,0.5167430639
24466,0.6475203633
24467,0.4807775915
24468,0.8871318102
24469,0.7737324834
24470,0.3628205955
24471,0.6964446902
24472,0.5900336504
24473,0.4193368554
24474,0.6587020159
24475,0.580937922
24476,0.6351950169
24477,0.2695126235
24478,0.3727910221
24479,0.5612004399
24480,0.4075733423
24481,0.5101658106
24482,0.5790691972
24483,0.6150835752
24484,0.4189129174
24485,0.4978452027
24486,0.5519340634
24487,0.4138493836
24488,0.5204783678
24489,0.4492502511
24490,0.3635742366
24491,0.3836823702
24492,0.5984177589
24493,0.4034232199
24494,0.5153525472
24495,0.4496226907
24496,0.474532187
24497,0.4539836943
24498,0.493028909
24499,0.4609838724
24500,0.6071124673
24501,0.6557344794
24502,0.4730575681
24503,0.5976970792
24504,0.4393887818
24505,0.4863782823
24506,0.5847556591
24507,0.3897442818
24508,0.5367693901
24509,0.4444586337
24510,0.567178607
24511,0.5143682957
24512,0.3879351318
24513,0.5295874476
24514,0.3977694213
24515,0.9999601841
24516,0.8735072613
24517,0.5999596715
24518,0.4792893827
24519,0.3769596517
24520,0.341385603
24521,0.4341597259
24522,0.4568032622
24523,0.646566987
24524,0.6849384904
24525,0.5304262638
24526,0.3663568795
24527,0.4570298195
24528,0.4593747258
24529,0.4265556633
24530,0.3792454898
24531,0.4134474993
24532,0.4535300732
24533,0.4872781634
24534,0.4248641729
24535,0.4554312229
24536,0.4241527617
24537,0.4604222178
24538,0.4921375513
24539,0.8323737979
24540,0.8852164149
24541,0.3558272719
24542,0.619694829
24543,0.2884536088
24544,0.631870687
24545,0.3775836825
24546,0.4182166457
24547,0.41245839
24548,0.2796308398
24549,0.464859575
24550,0.605363071
24551,0.5647268295
24552,0.2622871101
24553,0.5152071714
24554,0.4799102247
24555,0.5070171952
24556,1.044911146
24557,0.4169159532
24558,0.4821859002
24559,0.7768319845
24560,0.4682895243
24561,0.3851589859
24562,0.5396778584
24563,0.4127430916
24564,0.4984325469
24565,0.6976128221
24566,0.3646027744
24567,0.8902118802
24568,0.5869894624
24569,0.6849834323
24570,0.4109829664
24571,0.7274095416
24572,0.5148979425
24573,0.4301900566
24574,0.4332840443
24575,0.4568644762
24576,0.6488289833
24577,0.80397892
24578,0.4634204209
24579,0.3885655403
24580,0.4261523783
24581,0.2905171514
24582,0.4028415084
24583,0.1785694063
24584,0.7422935963
24585,0.3794883192
24586,0.2849692404
24587,0.7281150818
24588,0.3735086024
24589,0.5866727233
24590,0.5389248729
24591,0.4822779298
24592,0.3856380582
24593,0.3319101632
24594,0.5306633711
24595,0.8908040524
24596,0.8297981024
24597,0.4161632955
24598,0.6813576818
24599,0.5346494317
24600,0.6772928834
24601,0.3016065955
24602,0.8163875937
24603,1.131235361
24604,0.5215842724
24605,0.4579457343
24606,0.3030335307
24607,0.576254487
24608,0.5778490305
24609,0.7630226016
24610,0.4547426403
24611,0.4209859371
24612,0.27916345
24613,0.4630707204
24614,0.3795301318
24615,0.5579075217
24616,0.395293206
24617,0.5747084618
24618,0.7231230736
24619,0.4028692544
24620,0.7859057188
24621,0.3680399954
24622,0.3869007826
24623,0.488360405
24624,0.3898764849
24625,0.6917202473
24626,0.6894444823
24627,0.5545853376
24628,0.5505450368
24629,0.5928506255
24630,0.4652710855
24631,0.3555549085
24632,0.642629385
24633,0.3264295161
24634,0.4250675142
24635,0.5477679372
24636,0.4902079701
24637,0.3696226478
24638,0.3790611029
24639,0.5819320679
24640,0.4776703119
24641,0.2722809315
24642,0.5509312153
24643,0.5893003941
24644,0.4910197854
24645,0.544377625
24646,0.4699046016
24647,0.4857179523
24648,0.551079452
24649,0.3973400593
24650,0.8154355884
24651,0.582893014
24652,0.4789332151
24653,0.3968056142
24654,0.52044487
24655,0.3787980974
24656,0.3218210936
24657,0.5536376834
24658,0.5056388378
24659,0.5703162551
24660,0.411673218
24661,0.5110617876
24662,0.486019522
24663,0.5475776792
24664,0.316544503
24665,0.5071675181
24666,0.3515614569
24667,0.6031274796
24668,0.8463110924
24669,0.3117053509
24670,0.6483665109
24671,0.566763103
24672,0.5018270016
24673,0.7233304381
24674,0.9089451432
24675,0.7514120936
24676,0.5880205035
24677,0.3930051625
24678,0.4082054794
24679,0.6303017735
24680,0.2988325357
24681,0.2456583828
24682,0.4076930881
24683,0.7108948827
24684,0.4817644358
24685,0.5111718774
24686,0.4701319039
24687,0.2945164442
24688,0.3672148287
24689,0.3330718279
24690,0.6919790506
24691,0.5519231558
24692,0.2639517188
24693,0.335321635
24694,0.4294327497
24695,0.6331551075
24696,0.4869370162
24697,0.5007010698
24698,0.4942748249
24699,0.3398957551
24700,0.5745623112
24701,0.5569553375
24702,0.6559892297
24703,0.3838751912
24704,0.6249553561
24705,0.3613606393
24706,0.4753350317
24707,0.5286455154
24708,0.4108316302
24709,0.7686659098
24710,0.7138625979
24711,0.9056864381
24712,0.4690452814
24713,0.7749862075
24714,0.4517373443
24715,0.5899711847
24716,0.5649987459
24717,0.4151252508
24718,0.5181231499
24719,0.4137884378
24720,0.7029520273
24721,0.4888548255
24722,0.5146019459
24723,0.2317634672
24724,0.305521965
24725,0.3136067688
24726,0.4129374325
24727,0.2950636148
24728,0.6153796911
24729,0.4263110757
24730,0.473882705
24731,0.4966423512
24732,0.2777206004
24733,0.3270037472
24734,0.3209247887
24735,0.4595819712
24736,0.446888417
24737,0.6023365855
24738,0.6619842649
24739,0.3688509166
24740,0.5508038998
24741,0.4417112172
24742,0.6551033258
24743,0.4753251076
24744,0.443356812
24745,0.5650895834
24746,0.7814701796
24747,0.5793734789
24748,0.8056693077
24749,0.5895984173
24750,0.3066505194
24751,0.5172730684
24752,0.3262758851
24753,0.4915695786
24754,0.4444056451
24755,0.5784736872
24756,0.3258570135
24757,0.5376265645
24758,0.6950861812
24759,0.3509082198
24760,0.3357312083
24761,0.4894495308
24762,0.278581351
24763,0.771042645
24764,0.2973762453
24765,0.8685727715
24766,0.6621821523
24767,0.8308551311
24768,0.630236268
24769,0.4447066188
24770,0.6642671824
24771,0.2954739928
24772,0.5499523282
24773,0.3132171929
24774,0.6518296003
24775,0.2984080017
24776,0.8137953281
24777,0.4172538221
24778,0.5262194276
24779,0.4197390378
24780,0.6445176601
24781,0.5095210671
24782,0.3292646706
24783,0.5061368346
24784,0.4086121321
24785,0.5272512436
24786,0.5655245781
24787,0.4523136914
24788,0.4740926921
24789,0.2438007295
24790,0.4940863848
24791,0.4042361677
24792,0.3667112589
24793,0.5255588889
24794,0.5379917622
24795,0.5331631899
24796,0.5198411942
24797,0.6010693312
24798,0.8407586813
24799,0.6464651227
24800,0.4491698742
24801,0.3417908549
24802,0.3649113774
24803,0.5415095091
24804,0.527951479
24805,0.3662077785
24806,0.8444365859
24807,0.3282493055
24808,0.4380520284
24809,0.4331468642
24810,0.5715038776
24811,0.6932674646
24812,0.4187937379
24813,0.4190772176
24814,0.4143942893
24815,0.3384979367
24816,0.611684978
24817,0.4373320341
24818,0.4777470529
24819,0.4437088966
24820,0.539060235
24821,0.4120514095
24822,0.3671546876
24823,0.3441103995
24824,0.3904666603
24825,0.6410805583
24826,0.4749082923
24827,0.6811142564
24828,0.3874308765
24829,0.4630176425
24830,0.4698217511
24831,0.6746072173
24832,0.6242707372
24833,0.4099024236
24834,0.6267739534
24835,0.5174252391
24836,0.4381184578
24837,0.3125461638
24838,0.6571000814
24839,0.5148249269
24840,0.5920842886
24841,0.4016992748
24842,0.5419127941
24843,0.3174049854
24844,0.3603646159
24845,0.645483017
24846,0.3566462398
24847,0.8366706967
24848,0.9973669052
24849,0.4680821002
24850,0.262144357
24851,0.6099140048
24852,0.6797641516
24853,0.6447805762
24854,0.4480917752
24855,0.4249247909
24856,0.471290648
24857,0.5481157303
24858,0.5668646097
24859,0.3780505061
24860,0.3917974532
24861,0.6897834539
24862,0.3871660531
24863,0.3622429371
24864,0.3387039602
24865,0.478864044
24866,0.7159497142
24867,0.4633494616
24868,0.5001501441
24869,0.399284631
24870,0.5743009448
24871,0.3347913027
24872,0.3779425025
24873,0.5907456279
24874,0.6158416867
24875,0.3735935688
24876,0.2800635695
24877,0.2497881949
24878,0.5945914388
24879,0.5274808407
