step,value
24001,9.999999747e-05
24002,9.999999747e-05
24003,9.999999747e-05
24004,9.999999747e-05
24005,9.999999747e-05
24006,9.999999747e-05
24007,9.999999747e-05
24008,9.999999747e-05
24009,9.999999747e-05
24010,9.999999747e-05
24011,9.999999747e-05
24012,9.999999747e-05
24013,9.999999747e-05
24014,9.999999747e-05
24015,9.999999747e-05
24016,9.999999747e-05
24017,9.999999747e-05
24018,9.999999747e-05
24019,9.999999747e-05
24020,9.999999747e-05
24021,9.999999747e-05
24022,9.999999747e-05
24023,9.999999747e-05
24024,9.999999747e-05
24025,9.999999747e-05
24026,9.999999747e-05
24027,9.999999747e-05
24028,9.999999747e-05
24029,9.999999747e-05
24030,9.999999747e-05
24031,9.999999747e-05
24032,9.999999747e-05
24033,9.999999747e-05
24034,9.999999747e-05
24035,9.999999747e-05
24036,9.999999747e-05
24037,9.999999747e-05
24038,9.999999747e-05
24039,9.999999747e-05
24040,9.999999747e-05
24041,9.999999747e-05
24042,9.999999747e-05
24043,9.999999747e-05
24044,9.999999747e-05
24045,9.999999747e-05
24046,9.999999747e-05
24047,9.999999747e-05
24048,9.999999747e-05
24049,9.999999747e-05
24050,9.999999747e-05
24051,9.999999747e-05
24052,9.999999747e-05
24053,9.999999747e-05
24054,9.999999747e-05
24055,9.999999747e-05
24056,9.999999747e-05
24057,9.999999747e-05
24058,9.999999747e-05
24059,9.999999747e-05
24060,9.999999747e-05
24061,9.999999747e-05
24062,9.999999747e-05
24063,9.999999747e-05
24064,9.999999747e-05
24065,9.999999747e-05
24066,9.999999747e-05
24067,9.999999747e-05
24068,9.999999747e-05
24069,9.999999747e-05
24070,9.999999747e-05
24071,9.999999747e-05
24072,9.999999747e-05
24073,9.999999747e-05
24074,9.999999747e-05
24075,9.999999747e-05
24076,9.999999747e-05
24077,9.999999747e-05
24078,9.999999747e-05
24079,9.999999747e-05
24080,9.999999747e-05
24081,9.999999747e-05
24082,9.999999747e-05
24083,9.999999747e-05
24084,9.999999747e-05
24085,9.999999747e-05
24086,9.999999747e-05
