step,value
24001,18.26881027
24002,24.43125916
24003,26.35802078
24004,23.54406357
24005,23.09108543
24006,24.07843781
24007,25.82494545
24008,23.63742447
24009,26.32961082
24010,20.72043991
24011,26.01832581
24012,24.56013489
24013,24.81701851
24014,22.06228638
24015,20.95271111
24016,26.47406769
24017,24.00129509
24018,25.14398956
24019,25.40739441
24020,25.07053375
24021,23.71963882
24022,19.7513237
24023,21.45456123
24024,26.05735779
24025,22.69918251
24026,22.50650597
24027,24.08949661
24028,24.10554123
24029,25.56993675
24030,13.26380825
24031,22.98804283
24032,23.57749557
24033,24.98067093
24034,24.82195091
24035,23.88256073
24036,28.9126606
24037,23.57740211
24038,25.77233505
24039,24.84056664
24040,22.00637627
24041,22.76380348
24042,24.67769241
24043,24.77163124
24044,25.01236153
24045,23.76088142
24046,23.35888672
24047,24.56690598
24048,24.02654839
24049,20.88070679
24050,25.66042709
24051,22.17876244
24052,24.44523811
24053,21.18934631
24054,23.21925354
24055,24.32208061
24056,24.23348236
24057,26.01616287
24058,24.665205
24059,26.73086929
24060,25.67445755
24061,22.01559067
24062,22.68522644
24063,23.3185463
24064,25.0737648
24065,25.5963726
24066,25.06408882
24067,25.10309601
24068,25.5571785
24069,21.54304886
24070,25.25094986
24071,21.85766411
24072,23.88807297
24073,25.73171425
24074,22.78028679
24075,25.85304451
24076,22.16367531
24077,24.98166275
24078,19.79311371
24079,26.01121712
24080,24.87085342
24081,22.37493896
24082,21.36480713
24083,25.14249992
24084,23.32937622
24085,23.65225029
24086,25.72519112
24087,24.09994316
24088,25.19691277
24089,23.68939209
24090,20.57759476
24091,26.36304855
24092,20.1469841
24093,24.39993095
24094,22.70522118
24095,26.01387024
24096,21.35079956
24097,26.75416946
24098,23.59498024
24099,23.04248428
24100,24.61228371
24101,25.21318626
24102,26.47483444
24103,25.1570282
24104,23.45791626
24105,23.23241806
24106,23.99270058
24107,27.41544914
24108,23.93202782
24109,23.74106407
24110,23.45571136
24111,26.16873741
24112,22.59288597
24113,23.40029144
24114,25.46619415
24115,24.98391151
24116,24.30270386
24117,26.17772675
24118,23.61556816
24119,24.96047592
24120,29.37862206
24121,24.4558506
24122,20.65979385
24123,23.66335678
24124,24.35274124
24125,24.25527382
24126,27.85338593
24127,16.30534935
24128,25.52326584
24129,23.69153976
24130,24.84959602
24131,23.22083664
24132,25.70771027
24133,23.71080017
24134,21.33877182
24135,22.16452789
24136,23.44146347
24137,23.82793427
24138,23.81936264
24139,21.79962921
24140,21.38037109
24141,23.09071732
24142,21.72050667
24143,23.10476112
24144,27.89805412
24145,24.91881371
24146,25.43281555
24147,23.92049408
24148,26.55156708
24149,24.58975792
24150,26.77814674
24151,24.04577255
24152,23.42218018
24153,23.50272179
24154,21.43425941
24155,25.95465088
24156,27.25820732
24157,26.11905861
24158,23.71938515
24159,25.29115677
24160,24.04775429
24161,24.61463547
24162,23.12277985
24163,26.3474617
24164,26.07144547
24165,23.37677193
24166,21.76335335
24167,24.88230133
24168,22.70298767
