step,value
24001,16.29632568
24002,22.13933182
24003,23.09287071
24004,21.57153893
24005,21.50427818
24006,20.04739571
24007,26.26374817
24008,19.40090179
24009,23.24092484
24010,20.12000275
24011,22.35788727
24012,23.98180771
24013,21.65905762
24014,20.34899521
24015,19.67091751
24016,23.9713707
24017,21.35494041
24018,21.23073769
24019,22.25531387
24020,19.11225319
24021,20.59275627
24022,17.35272789
24023,19.98544312
24024,24.04546547
24025,19.13520813
24026,23.00304222
24027,20.8367424
24028,22.0707016
24029,22.94073296
24030,15.35404396
24031,21.25761223
24032,21.04868889
24033,21.33685303
24034,22.4154129
24035,20.56390953
24036,29.35552216
24037,20.10624313
24038,23.39444733
24039,22.41047859
24040,17.41161537
24041,21.82177353
24042,20.95405769
24043,22.27856064
24044,21.66245461
24045,20.85180283
24046,19.40361786
24047,20.58944702
24048,19.90140152
24049,16.52408218
24050,22.19667816
24051,21.35185623
24052,20.12509918
24053,21.50989723
24054,17.77025604
24055,22.48744774
24056,21.13116264
24057,24.25617409
24058,20.28212738
24059,26.35138512
24060,23.00409126
24061,21.99515533
24062,17.95090866
24063,19.05478668
24064,21.31045532
24065,25.56200981
24066,19.01132774
24067,21.84664536
24068,22.68966293
24069,21.04735374
24070,25.45370483
24071,20.53946686
24072,21.14252472
24073,21.82785416
24074,17.7546196
24075,25.36054611
24076,22.98737526
24077,24.33008385
24078,16.98081017
24079,21.87558365
24080,21.77641869
24081,20.77346992
24082,16.74209404
24083,21.81126595
24084,19.42107964
24085,19.78202629
24086,25.14509201
24087,18.69953918
24088,21.88442421
24089,22.59134293
24090,17.0496006
24091,23.83244324
24092,16.53612518
24093,19.95628738
24094,21.90232849
24095,21.62163162
24096,22.53429222
24097,25.43933678
24098,19.9011097
24099,19.94246674
24100,20.00116158
24101,23.5946312
24102,24.12772751
24103,22.19387245
24104,19.08145523
24105,20.6279068
24106,21.59061241
24107,26.81652069
24108,22.70697594
24109,22.33389091
24110,19.38272095
24111,24.39616203
24112,18.67446136
24113,18.45295525
24114,23.47808647
24115,22.75331116
24116,20.58255386
24117,21.6543541
24118,21.95570374
24119,21.89274216
24120,27.89812469
24121,22.13038445
24122,19.57881927
24123,20.56186485
24124,20.71940422
24125,21.75923347
24126,26.74190521
24127,12.70279503
24128,22.31674576
24129,20.15780258
24130,20.63854599
24131,19.2171154
24132,22.80054092
24133,19.94229889
24134,16.60847092
24135,18.18676376
24136,19.68125916
24137,17.47616005
24138,20.39941978
24139,19.07653046
24140,19.91405296
