step,value
24001,0
24002,1
24003,1
24004,0
24005,1
24006,0
24007,1
24008,1
24009,0
24010,1
24011,1
24012,0
24013,1
24014,0
24015,0
24016,0
24017,0
24018,1
24019,0
24020,0
24021,0
24022,1
24023,0
24024,0
24025,1
24026,0
24027,1
24028,0
24029,1
24030,0
24031,0
24032,1
24033,0
24034,0
24035,0
24036,1
24037,0
24038,0
24039,1
24040,1
24041,0
24042,1
24043,0
24044,1
24045,1
24046,1
24047,1
24048,1
24049,1
24050,0
24051,0
24052,1
24053,1
24054,0
24055,1
24056,1
24057,1
24058,1
24059,1
24060,0
24061,0
24062,0
24063,0
24064,0
24065,1
24066,1
24067,0
24068,0
24069,0
24070,1
24071,1
24072,0
24073,0
24074,1
24075,0
24076,0
24077,1
24078,1
24079,0
24080,0
24081,1
24082,1
24083,0
24084,1
24085,0
24086,1
24087,0
24088,1
24089,0
24090,0
24091,1
24092,0
24093,1
24094,0
24095,0
24096,0
24097,1
24098,1
24099,1
24100,1
24101,0
24102,0
24103,0
24104,0
24105,0
24106,1
24107,1
24108,1
24109,0
24110,1
24111,1
24112,0
24113,0
24114,0
24115,0
24116,1
24117,0
24118,1
24119,0
24120,0
24121,0
24122,0
24123,1
24124,1
24125,0
24126,1
24127,0
24128,0
24129,1
24130,1
24131,0
24132,1
24133,1
24134,0
24135,0
24136,1
24137,0
24138,1
24139,0
24140,1
24141,1
24142,1
24143,1
24144,1
24145,1
24146,0
24147,0
24148,1
24149,1
24150,0
24151,0
24152,1
24153,0
24154,0
24155,1
24156,0
24157,1
24158,0
24159,1
24160,1
24161,1
24162,0
24163,0
24164,1
24165,1
24166,1
24167,0
24168,0
24169,0
24170,1
24171,1
24172,1
24173,0
24174,0
24175,1
24176,1
24177,0
24178,0
24179,0
24180,1
24181,0
24182,1
24183,1
24184,1
24185,1
24186,0
24187,1
24188,1
24189,0
24190,0
24191,0
24192,0
24193,1
24194,0
24195,1
24196,1
24197,1
24198,1
24199,0
24200,1
24201,1
24202,0
24203,0
24204,1
24205,0
24206,1
24207,0
24208,1
24209,0
24210,1
24211,0
24212,1
24213,0
24214,0
24215,0
24216,0
24217,1
24218,1
24219,0
24220,0
24221,1
24222,1
24223,1
24224,0
24225,0
24226,1
24227,1
24228,0
24229,0
24230,1
24231,0
24232,0
24233,1
24234,0
24235,1
24236,1
24237,0
24238,0
24239,0
24240,0
24241,1
24242,1
24243,0
24244,1
24245,0
24246,1
24247,0
24248,0
24249,0
24250,1
24251,1
24252,1
24253,1
24254,0
24255,1
24256,0
24257,1
24258,0
24259,0
24260,0
24261,0
24262,0
24263,1
24264,1
24265,1
24266,0
24267,0
24268,0
24269,1
24270,0
24271,1
24272,0
24273,0
24274,1
24275,0
24276,0
24277,0
24278,0
24279,1
24280,1
24281,1
24282,1
24283,0
24284,1
24285,1
24286,0
24287,0
24288,0
24289,0
24290,1
24291,0
24292,1
24293,0
24294,1
24295,0
24296,0
24297,1
24298,0
24299,0
24300,1
24301,0
24302,1
24303,1
24304,1
24305,0
24306,1
24307,0
24308,1
24309,1
24310,1
24311,0
24312,1
24313,0
24314,1
24315,0
24316,1
24317,1
24318,0
24319,1
24320,1
24321,0
24322,0
24323,0
24324,0
24325,0
24326,0
24327,1
24328,1
24329,0
24330,0
24331,0
24332,0
24333,0
24334,1
24335,0
24336,0
24337,1
24338,0
24339,0
24340,0
24341,0
24342,0
24343,1
24344,0
24345,0
24346,1
24347,0
24348,1
24349,0
24350,0
24351,1
24352,0
24353,1
24354,1
24355,1
24356,0
24357,1
24358,1
24359,1
24360,1
24361,1
24362,1
24363,1
24364,1
24365,0
24366,1
24367,0
24368,1
24369,0
24370,1
24371,0
24372,0
24373,0
24374,0
24375,0
24376,0
24377,1
24378,0
24379,0
24380,1
24381,0
24382,1
24383,1
24384,0
24385,1
24386,1
24387,0
24388,0
24389,1
24390,0
24391,1
24392,0
24393,0
24394,0
24395,1
24396,0
24397,0
24398,1
24399,0
24400,0
24401,1
24402,1
24403,1
24404,0
24405,1
24406,1
24407,1
24408,0
24409,0
24410,1
24411,1
24412,1
24413,0
24414,1
24415,1
24416,1
24417,0
24418,0
24419,0
24420,1
24421,1
24422,1
24423,0
24424,0
24425,1
24426,1
24427,0
24428,1
24429,1
24430,1
24431,1
24432,1
24433,1
24434,1
24435,1
24436,0
24437,1
24438,1
24439,1
24440,0
24441,0
24442,1
24443,0
24444,1
24445,0
24446,1
24447,1
24448,0
24449,0
24450,1
24451,0
24452,1
24453,1
24454,1
24455,0
24456,0
24457,1
24458,0
24459,0
24460,0
24461,0
24462,1
24463,1
24464,1
24465,0
24466,1
24467,0
24468,0
24469,1
24470,0
24471,0
24472,1
24473,1
24474,1
24475,0
24476,1
24477,0
24478,1
24479,0
24480,1
24481,0
24482,1
24483,1
24484,1
24485,0
24486,0
24487,0
24488,1
24489,0
24490,0
24491,0
24492,1
24493,0
24494,1
24495,1
24496,1
24497,1
24498,1
24499,0
24500,1
24501,1
24502,0
24503,0
24504,1
24505,0
24506,0
24507,1
24508,1
24509,1
24510,0
24511,1
24512,0
24513,1
24514,0
24515,0
24516,0
24517,1
24518,1
24519,1
24520,1
24521,0
24522,0
24523,1
24524,0
24525,1
24526,1
24527,0
24528,0
24529,0
24530,0
24531,0
24532,0
24533,1
24534,1
24535,0
24536,0
24537,1
24538,1
24539,1
24540,0
24541,0
24542,0
24543,0
24544,0
24545,0
24546,0
24547,0
24548,0
24549,0
24550,1
24551,1
24552,1
24553,1
24554,0
24555,1
24556,0
24557,0
24558,1
