step,value
24001,1
24002,0
24003,0
24004,1
24005,0
24006,1
24007,0
24008,0
24009,1
24010,0
24011,0
24012,1
24013,0
24014,1
24015,1
24016,1
24017,1
24018,0
24019,1
24020,1
24021,1
24022,0
24023,1
24024,1
24025,0
24026,1
24027,0
24028,1
24029,0
24030,1
24031,1
24032,0
24033,1
24034,1
24035,1
24036,0
24037,1
24038,1
24039,0
24040,0
24041,1
24042,0
24043,1
24044,0
24045,0
24046,0
24047,0
24048,0
24049,0
24050,1
24051,1
24052,0
24053,0
24054,1
24055,0
24056,0
24057,0
24058,0
24059,0
24060,1
24061,1
24062,1
24063,1
24064,1
24065,0
24066,0
24067,1
24068,1
24069,1
24070,0
24071,0
24072,1
24073,1
24074,0
24075,1
24076,1
24077,0
24078,0
24079,1
24080,1
24081,0
24082,0
24083,1
24084,0
24085,1
24086,0
24087,1
24088,0
24089,1
24090,1
24091,0
24092,1
24093,0
24094,1
24095,1
24096,1
24097,0
24098,0
24099,0
24100,0
24101,1
24102,1
24103,1
24104,1
24105,1
24106,0
24107,0
24108,0
24109,1
24110,0
24111,0
24112,1
24113,1
24114,1
24115,1
24116,0
24117,1
24118,0
24119,1
24120,1
24121,1
24122,1
24123,0
24124,0
24125,1
24126,0
24127,1
24128,1
24129,0
24130,0
24131,1
24132,0
24133,0
24134,1
24135,1
24136,0
24137,1
24138,0
24139,1
24140,0
24141,0
24142,0
24143,0
24144,0
24145,0
24146,1
24147,1
24148,0
24149,0
24150,1
24151,1
24152,0
24153,1
24154,1
24155,0
24156,1
24157,0
24158,1
24159,0
24160,0
24161,0
24162,1
24163,1
24164,0
24165,0
24166,0
24167,1
24168,1
24169,1
24170,0
24171,0
24172,0
24173,1
24174,1
24175,0
24176,0
24177,1
24178,1
24179,1
24180,0
24181,1
24182,0
24183,0
24184,0
24185,0
24186,1
24187,0
24188,0
24189,1
24190,1
24191,1
24192,1
24193,0
24194,1
24195,0
24196,0
24197,0
24198,0
24199,1
24200,0
24201,0
24202,1
24203,1
24204,0
24205,1
24206,0
24207,1
24208,0
24209,1
24210,0
24211,1
24212,0
24213,1
24214,1
24215,1
24216,1
24217,0
24218,0
24219,1
24220,1
24221,0
24222,0
24223,0
24224,1
24225,1
24226,0
24227,0
24228,1
24229,1
24230,0
24231,1
24232,1
24233,0
24234,1
24235,0
24236,0
24237,1
24238,1
24239,1
24240,1
24241,0
24242,0
24243,1
24244,0
24245,1
24246,0
24247,1
24248,1
24249,1
24250,0
24251,0
24252,0
24253,0
24254,1
24255,0
24256,1
24257,0
24258,1
24259,1
24260,1
24261,1
24262,1
24263,0
24264,0
24265,0
24266,1
24267,1
24268,1
24269,0
24270,1
24271,0
24272,1
24273,1
24274,0
24275,1
24276,1
24277,1
24278,1
24279,0
24280,0
24281,0
24282,0
24283,1
24284,0
24285,0
24286,1
24287,1
24288,1
24289,1
24290,0
24291,1
24292,0
24293,1
24294,0
24295,1
24296,1
24297,0
24298,1
24299,1
24300,0
24301,1
24302,0
24303,0
24304,0
24305,1
24306,0
24307,1
24308,0
24309,0
24310,0
24311,1
24312,0
24313,1
24314,0
24315,1
24316,0
24317,0
24318,1
24319,0
24320,0
24321,1
24322,1
24323,1
24324,1
24325,1
24326,1
24327,0
24328,0
24329,1
24330,1
24331,1
24332,1
24333,1
24334,0
24335,1
24336,1
24337,0
24338,1
24339,1
24340,1
24341,1
24342,1
24343,0
24344,1
24345,1
24346,0
24347,1
24348,0
24349,1
24350,1
24351,0
24352,1
24353,0
24354,0
24355,0
24356,1
24357,0
24358,0
24359,0
24360,0
24361,0
24362,0
24363,0
24364,0
24365,1
24366,0
24367,1
24368,0
24369,1
24370,0
24371,1
24372,1
24373,1
24374,1
24375,1
24376,1
24377,0
24378,1
24379,1
24380,0
24381,1
24382,0
24383,0
24384,1
24385,0
24386,0
24387,1
24388,1
24389,0
24390,1
24391,0
24392,1
24393,1
24394,1
24395,0
24396,1
24397,1
24398,0
24399,1
24400,1
24401,0
24402,0
24403,0
24404,1
24405,0
24406,0
24407,0
24408,1
24409,1
24410,0
24411,0
24412,0
24413,1
24414,0
24415,0
24416,0
24417,1
24418,1
24419,1
24420,0
24421,0
24422,0
24423,1
24424,1
24425,0
24426,0
24427,1
24428,0
24429,0
24430,0
24431,0
24432,0
24433,0
24434,0
24435,0
24436,1
24437,0
24438,0
24439,0
24440,1
24441,1
24442,0
24443,1
24444,0
24445,1
24446,0
24447,0
24448,1
24449,1
24450,0
24451,1
24452,0
24453,0
24454,0
24455,1
24456,1
24457,0
24458,1
24459,1
24460,1
24461,1
24462,0
24463,0
24464,0
24465,1
24466,0
24467,1
24468,1
24469,0
24470,1
24471,1
24472,0
24473,0
24474,0
24475,1
24476,0
24477,1
24478,0
24479,1
24480,0
24481,1
24482,0
24483,0
24484,0
24485,1
24486,1
24487,1
24488,0
24489,1
24490,1
24491,1
24492,0
24493,1
24494,0
24495,0
24496,0
24497,0
24498,0
24499,1
24500,0
24501,0
24502,1
24503,1
24504,0
24505,1
24506,1
24507,0
24508,0
24509,0
24510,1
24511,0
24512,1
24513,0
24514,1
24515,1
24516,1
24517,0
24518,0
24519,0
24520,0
24521,1
24522,1
24523,0
24524,1
24525,0
24526,0
24527,1
24528,1
24529,1
24530,1
24531,1
24532,1
24533,0
24534,0
24535,1
24536,1
24537,0
24538,0
24539,0
24540,1
24541,1
24542,1
24543,1
24544,1
24545,1
24546,1
24547,1
24548,1
24549,1
24550,0
24551,0
24552,0
24553,0
24554,1
24555,0
24556,1
24557,1
24558,0
24559,0
24560,1
24561,1
24562,1
24563,1
24564,0
24565,1
24566,1
24567,1
24568,1
24569,0
24570,0
24571,1
24572,0
24573,0
